PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1827;3210;-2;1;0
0;2;1827;0;4173;3210;-2;1;0
0;3;0;0;1827;234;0;2;1
0;4;0;234;1827;2976;-2;2;1
0;5;0;234;1827;1979;-2;2;4
0;6;0;2213;1827;997;-1;2;4
0;7;0;234;914;1979;1;3;5
0;8;914;234;913;1979;-1;3;5
0;9;1827;0;1979;3210;-2;1;2
0;10;3806;0;2194;3210;-2;1;2
0;11;1827;0;1979;914;2;2;9
0;12;1827;914;1979;2296;-2;2;9
0;13;1827;914;1979;733;-2;2;12
0;14;1827;1647;1979;1563;-1;2;12
0;15;1827;914;1583;733;3;3;13
0;16;3410;914;396;733;-1;3;13
0;17;3806;0;673;3210;-2;1;10
0;18;4479;0;1521;3210;-2;1;10
0;19;3806;0;673;2156;4;2;17
0;20;3806;2156;673;1054;-2;2;17
0;21;3806;2156;673;830;-2;2;20
0;22;3806;2986;673;224;-1;2;20
0;23;3806;2156;500;830;5;3;21
0;24;4306;2156;173;830;-1;3;21
0;25;4479;0;428;3210;-2;1;18
0;26;4907;0;1093;3210;-2;1;18
0;27;4479;0;428;2298;6;2;25
0;28;4479;2298;428;912;-1;2;25
0;29;4907;0;498;3210;-2;1;26
0;30;5405;0;595;3210;-1;1;26
0;31;4907;0;498;1828;7;2;29
0;32;4907;1828;498;1382;-1;2;29
1;33;0;0;6000;3210;-2;0;
1;34;0;0;1939;3210;-2;1;33
1;35;1939;0;4061;3210;-2;1;33
1;36;0;0;1939;821;8;2;34
1;37;0;821;1939;2389;-2;2;34
1;38;0;821;1939;871;-2;2;37
1;39;0;1692;1939;1518;-2;2;37
1;40;0;821;368;871;9;3;38
1;41;368;821;1571;871;-2;3;38
1;42;368;821;1366;871;-2;3;41
1;43;1734;821;205;871;-1;3;41
1;44;368;821;1366;847;10;4;42
1;45;368;1668;1366;24;-1;4;42
1;46;0;1692;1939;805;-2;2;39
1;47;0;2497;1939;713;-1;2;39
1;48;0;1692;1524;805;11;3;46
1;49;1524;1692;415;805;-1;3;46
1;50;1939;0;748;3210;-2;1;35
1;51;2687;0;3313;3210;-2;1;35
1;52;1939;0;748;805;12;2;50
1;53;1939;805;748;2405;-2;2;50
1;54;1939;805;748;750;-1;2;53
1;55;1939;1555;748;753;-2;2;53
1;56;1939;2308;748;902;-1;2;53
1;57;1939;1555;626;753;13;3;55
1;58;2565;1555;122;753;-1;3;55
1;59;2687;0;1468;3210;-2;1;51
1;60;4155;0;1845;3210;-2;1;51
1;61;2687;0;1468;602;14;2;59
1;62;2687;602;1468;2608;-2;2;59
1;63;2687;602;1468;1535;-2;2;62
1;64;2687;2137;1468;1073;-2;2;62
1;65;2687;602;319;1535;15;3;63
1;66;3006;602;1149;1535;-2;3;63
1;67;3006;602;752;1535;-2;3;66
1;68;3758;602;397;1535;-2;3;66
1;69;3006;602;752;319;16;4;67
1;70;3006;921;752;1216;-1;4;67
1;71;3758;602;319;1535;-2;3;68
1;72;4077;602;78;1535;-1;3;68
1;73;3758;602;319;1492;17;4;71
1;74;3758;2094;319;43;-1;4;71
1;75;2687;2137;1468;319;-2;2;64
1;76;2687;2456;1468;754;-1;2;64
1;77;2687;2137;753;319;18;3;75
1;78;3440;2137;715;319;-1;3;75
1;79;4155;0;1689;3210;-2;1;60
1;80;5844;0;156;3210;-3;1;60
1;81;4155;0;1689;869;19;2;79
1;82;4155;869;1689;2341;-2;2;79
1;83;4155;869;1689;1827;-2;2;82
1;84;4155;2696;1689;514;-1;2;82
1;85;4155;869;446;1827;-1;3;83
1;86;4601;869;816;1827;20;3;83
1;87;5417;869;427;1827;-1;3;83
1;87;5417;869;427;1827;-3;3;83
