PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;825;3210;-2;1;0
0;2;0;0;825;1901;-2;2;1
0;3;0;0;387;1901;27;3;2
0;4;387;0;438;1901;-1;3;2
0;5;0;1901;825;1019;-2;2;1
0;6;0;1901;252;1019;0;3;5
0;7;252;1901;573;1019;-1;3;5
0;8;0;2920;825;243;38;2;1
0;9;0;3163;825;47;-1;2;1
0;10;825;0;868;3210;-2;1;0
0;11;825;0;868;1901;-2;2;10
0;12;825;0;387;1901;28;3;11
0;13;1212;0;481;1901;-1;3;11
0;14;825;1901;868;856;-2;2;10
0;15;825;1901;296;856;39;3;14
0;16;1121;1901;572;856;-1;3;14
0;17;825;2757;868;361;29;2;10
0;18;825;3118;868;92;-1;2;10
0;19;1693;0;947;3210;-2;1;0
0;20;1693;0;947;972;-2;2;19
0;21;1693;0;322;972;31;3;20
0;22;2015;0;625;972;-1;3;20
0;23;1693;972;947;868;-2;2;19
0;24;1693;972;361;868;30;3;23
0;25;2054;972;586;868;-1;3;23
0;26;1693;1840;947;886;-2;2;19
0;27;1693;1840;441;886;40;3;26
0;28;2134;1840;506;886;-1;3;26
0;29;1693;2726;947;332;41;2;19
0;30;1693;3058;947;152;-1;2;19
0;31;2640;0;1022;3210;-2;1;0
0;32;2640;0;1022;947;-2;2;31
0;33;2640;0;332;947;42;3;32
0;34;2972;0;690;947;-1;3;32
0;35;2640;947;1022;1592;-2;2;31
0;36;2640;947;646;1592;7;3;35
0;37;3286;947;376;1592;-1;3;35
0;38;2640;2539;1022;587;32;2;31
0;39;2640;3126;1022;84;-1;2;31
0;40;3662;0;354;3210;-2;1;0
0;41;3662;0;354;762;-2;2;40
0;42;3662;0;246;762;8;3;41
0;43;3908;0;108;762;-1;3;41
0;44;3662;762;354;1117;33;2;40
0;45;3662;1879;354;1117;34;2;40
0;46;3662;2996;354;214;-1;2;40
0;47;4016;0;940;3210;-2;1;0
0;48;4016;0;940;2155;9;2;47
0;49;4016;2155;940;1009;-2;2;47
0;50;4016;2155;310;1009;10;3;49
0;51;4326;2155;310;1009;11;3;49
0;52;4636;2155;320;1009;-1;3;49
