PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;484;3210;-1;1;0
0;2;0;0;484;1358;10;2;1
0;3;0;1358;484;1358;11;2;1
0;4;0;2716;484;494;-1;2;1
0;5;484;0;484;3210;-1;1;0
0;6;484;0;484;1358;12;2;5
0;7;484;1358;484;1205;-1;2;5
0;8;484;1358;395;1205;13;3;7
0;9;879;1358;89;1205;-1;3;7
0;10;484;2563;484;599;-1;2;5
0;11;484;2563;476;599;31;3;10
0;12;960;2563;8;599;-1;3;10
0;13;484;3162;484;48;-1;2;5
0;14;968;0;790;3210;-1;1;0
0;15;968;0;790;1205;-1;2;14
0;16;968;0;395;1205;14;3;15
0;17;1363;0;395;1205;15;3;15
0;18;968;1205;790;872;-1;2;14
0;19;968;1205;605;872;32;3;18
0;20;1573;1205;185;872;-1;3;18
0;21;968;2077;790;1129;-1;2;14
0;22;968;2077;750;1129;20;3;21
0;23;1718;2077;40;1129;-1;3;21
0;24;968;3206;790;4;-1;2;14
0;25;1758;0;646;3210;-1;1;0
0;26;1758;0;646;156;-1;2;25
0;27;1758;156;646;938;-1;2;25
0;28;1758;156;579;938;33;3;27
0;29;2337;156;67;938;-1;3;27
0;30;1758;1094;646;1918;-1;2;25
0;31;1758;1094;323;1918;-1;3;30
0;32;1758;1094;323;959;34;4;31
0;33;1758;2053;323;959;35;4;31
0;34;2081;1094;323;1918;-1;3;30
0;35;2081;1094;323;959;36;4;34
0;36;2081;2053;323;959;-1;4;34
0;37;1758;3012;646;198;-1;2;25
0;38;2404;0;395;3210;-1;1;0
0;39;2404;0;395;1764;-1;2;38
0;40;2404;0;384;1764;0;3;39
0;41;2788;0;11;1764;-1;3;39
0;42;2404;1764;395;1205;16;2;38
0;43;2404;2969;395;241;-1;2;38
0;44;2799;0;1002;3210;-1;1;0
0;45;2799;0;1002;636;37;2;44
0;46;2799;636;1002;1970;-1;2;44
0;47;2799;636;794;1970;17;3;46
0;48;3593;636;208;1970;-1;3;46
0;49;2799;2606;1002;604;-1;2;44
0;50;3801;0;1643;3210;-1;1;0
0;51;3801;0;1643;1970;-1;2;50
0;52;3801;0;794;1970;18;3;51
0;53;4595;0;825;1970;-1;3;51
0;54;4595;0;825;1903;1;4;53
0;55;4595;1903;825;67;-1;4;53
0;56;5420;0;24;1970;-1;3;51
0;57;3801;1970;1643;925;2;2;50
0;58;3801;2895;1643;315;-1;2;50
0;59;5444;0;289;3210;-1;1;0
0;60;5444;0;289;1755;3;2;59
0;61;5444;1755;289;1455;-1;2;59
0;62;5733;0;267;3210;-1;1;0
1;63;0;0;6000;3210;-2;0;
1;64;0;0;664;3210;-1;1;63
1;65;0;0;664;2273;4;2;64
1;66;0;2273;664;937;-1;2;64
1;67;664;0;839;3210;-1;1;63
1;68;664;0;839;2273;5;2;67
1;69;664;2273;839;937;-1;2;67
1;70;1503;0;3409;3210;-1;1;63
1;71;1503;0;3409;1042;-1;2;70
1;72;1503;0;1781;1042;-1;3;71
1;73;1503;0;1781;681;19;4;72
1;74;1503;681;1781;361;-1;4;72
1;75;3284;0;1547;1042;21;3;71
1;76;4831;0;81;1042;-1;3;71
1;77;1503;1042;3409;1088;-1;2;70
1;78;1503;1042;960;1088;22;3;77
1;79;2463;1042;960;1088;23;3;77
1;80;3423;1042;1489;1088;-1;3;77
1;81;1503;2130;3409;960;-1;2;70
1;82;1503;2130;1088;960;24;3;81
1;83;2591;2130;832;960;-1;3;81
1;84;3423;2130;1489;960;25;3;81
1;85;1503;3090;3409;120;-1;2;70
1;86;4912;0;960;3210;-1;1;63
1;87;4912;0;960;1489;26;2;86
1;88;4912;1489;960;1096;-1;2;86
1;89;4912;1489;750;1096;30;3;88
1;90;5662;1489;210;1096;-1;3;88
1;91;4912;2585;960;625;-1;2;86
1;92;5872;0;128;3210;-1;1;63
2;93;0;0;6000;3210;-2;0;
2;94;0;0;3072;3210;-1;1;93
2;95;3072;0;2420;3210;-1;1;93
2;96;3072;0;2420;735;6;2;95
2;97;3072;735;2420;2475;-1;2;95
2;98;5492;0;441;3210;-1;1;93
2;99;5492;0;441;1871;7;2;98
2;100;5492;1871;441;1339;-1;2;98
2;101;5933;0;67;3210;-1;1;93
3;102;0;0;6000;3210;-2;0;
3;103;0;0;2757;3210;-1;1;102
3;104;0;0;2757;1920;-1;2;103
3;105;0;0;1489;1920;-1;3;104
3;106;0;0;1489;960;27;4;105
3;107;0;960;1489;960;28;4;105
3;108;1489;0;484;1920;-1;3;104
3;109;1489;0;484;1358;29;4;108
3;110;1489;1358;484;562;-1;4;108
3;111;1973;0;784;1920;-1;3;104
3;112;1973;0;784;1871;8;4;111
3;113;1973;1871;784;49;-1;4;111
3;114;0;1920;2757;1140;-1;2;103
3;115;0;1920;328;1140;-1;3;114
3;116;328;1920;1435;1140;9;3;114
3;117;1763;1920;994;1140;-1;3;114
3;118;0;3060;2757;150;-1;2;103
3;119;2757;0;3243;3210;-1;1;102
