PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1964;3210;-2;1;0
0;2;0;0;1964;869;-2;2;1
0;3;0;0;1689;869;19;3;2
0;4;1689;0;275;869;-1;3;2
0;5;0;869;1964;1979;-2;2;1
0;6;0;869;816;1979;-2;3;5
0;7;0;869;816;1827;20;4;6
0;8;0;2696;816;152;-1;4;6
0;9;816;869;234;1979;-2;3;5
0;10;816;869;234;1827;0;4;9
0;11;816;2696;234;152;-1;4;9
0;12;1050;869;914;1979;1;3;5
0;13;0;2848;1964;362;-1;2;1
0;14;1964;0;2320;3210;-2;1;0
0;15;1964;0;2320;2156;-2;2;14
0;16;1964;0;914;2156;-2;3;15
0;17;1964;0;914;1979;2;4;16
0;18;1964;1979;914;177;-1;4;16
0;19;2878;0;733;2156;-2;3;15
0;20;2878;0;733;1583;3;4;19
0;21;2878;1583;733;573;-1;4;19
0;22;3611;0;673;2156;4;3;15
0;23;1964;2156;2320;500;-2;2;14
0;24;1964;2156;830;500;5;3;23
0;25;2794;2156;1490;500;-1;3;23
0;26;1964;2656;2320;554;-1;2;14
0;27;4284;0;428;3210;-2;1;0
0;28;4284;0;428;2298;6;2;27
0;29;4284;2298;428;912;-1;2;27
0;30;4712;0;498;3210;-2;1;0
0;31;4712;0;498;1828;7;2;30
0;32;4712;1828;498;1382;-1;2;30
0;33;5210;0;790;3210;-1;1;0
1;34;0;0;6000;3210;-2;0;
1;35;0;0;2890;3210;-2;1;34
1;36;0;0;2890;871;-2;2;35
1;37;0;0;1939;871;-2;3;36
1;38;0;0;1939;821;8;4;37
1;39;0;821;1939;50;-1;4;37
1;40;1939;0;368;871;9;3;36
1;41;2307;0;583;871;-1;3;36
1;42;0;871;2890;847;-2;2;35
1;43;0;871;1366;847;10;3;42
1;44;1366;871;1524;847;-2;3;42
1;45;1366;871;1524;805;11;4;44
1;46;1366;1676;1524;42;-1;4;44
1;47;0;1718;2890;805;-2;2;35
1;48;0;1718;748;805;12;3;47
1;49;748;1718;626;805;-2;3;47
1;50;748;1718;626;753;13;4;49
1;51;748;2471;626;52;-1;4;49
1;52;1374;1718;1468;805;-2;3;47
1;53;1374;1718;1468;602;14;4;52
1;54;1374;2320;1468;203;-1;4;52
1;55;2842;1718;48;805;-1;3;47
1;56;0;2523;2890;319;-2;2;35
1;57;0;2523;1535;319;15;3;56
1;58;1535;2523;752;319;16;3;56
1;59;2287;2523;603;319;-1;3;56
1;60;0;2842;2890;319;-2;2;35
1;61;0;2842;1492;319;17;3;60
1;62;1492;2842;753;319;18;3;60
1;63;2245;2842;645;319;-1;3;60
1;64;0;3161;2890;49;-1;2;35
1;65;2890;0;3110;3210;-1;1;34
