PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;855;3210;-2;1;0
0;2;0;0;855;3013;-2;2;1
0;3;0;0;491;3013;15;3;2
0;4;491;0;364;3013;-1;3;2
0;5;0;3013;855;150;5;2;1
0;6;0;3163;855;47;-1;2;1
0;7;855;0;423;3210;-2;1;0
0;8;855;0;423;1997;-2;2;7
0;9;855;0;138;1997;2;3;8
0;10;993;0;285;1997;-1;3;8
0;11;855;1997;423;909;66;2;7
0;12;855;2906;423;304;-1;2;7
0;13;1278;0;175;3210;-2;1;0
0;14;1278;0;175;2122;1;2;13
0;15;1278;2122;175;1044;-2;2;13
0;16;1278;2122;137;1044;3;3;15
0;17;1415;2122;38;1044;-1;3;15
0;18;1278;3166;175;44;-1;2;13
0;19;1453;0;456;3210;-2;1;0
0;20;1453;0;456;1322;-2;2;19
0;21;1453;0;168;1322;0;3;20
0;22;1621;0;288;1322;-1;3;20
0;23;1453;1322;456;1396;-2;2;19
0;24;1453;1322;228;1396;35;3;23
0;25;1681;1322;228;1396;-1;3;23
0;26;1453;2718;456;469;63;2;19
0;27;1453;3187;456;23;-1;2;19
0;28;1909;0;750;3210;-2;1;0
0;29;1909;0;750;871;-2;2;28
0;30;1909;0;137;871;4;3;29
0;31;2046;0;613;871;-1;3;29
0;32;1909;871;750;2144;14;2;28
0;33;1909;3015;750;195;-1;2;28
0;34;2659;0;510;3210;-2;1;0
0;35;2659;0;510;1288;21;2;34
0;36;2659;1288;510;1288;20;2;34
0;37;2659;2576;510;634;-2;2;34
0;38;2659;2576;485;634;56;3;37
0;39;3144;2576;25;634;-1;3;37
0;40;3169;0;662;3210;-2;1;0
0;41;3169;0;662;1457;-2;2;40
0;42;3169;0;570;1457;17;3;41
0;43;3739;0;92;1457;-1;3;41
0;44;3169;1457;662;345;-2;2;40
0;45;3169;1457;332;345;47;3;44
0;46;3501;1457;330;345;-1;3;44
0;47;3169;1802;662;345;-2;2;40
0;48;3169;1802;332;345;46;3;47
0;49;3501;1802;330;345;-1;3;47
0;50;3169;2147;662;974;13;2;40
0;51;3169;3121;662;89;-1;2;40
0;52;3831;0;646;3210;-2;1;0
0;53;3831;0;646;746;-2;2;52
0;54;3831;0;426;746;39;3;53
0;55;4257;0;220;746;-1;3;53
0;56;3831;746;646;746;-2;2;52
0;57;3831;746;426;746;41;3;56
0;58;4257;746;220;746;-1;3;56
0;59;3831;1492;646;1396;34;2;52
0;60;3831;2888;646;322;-1;2;52
0;61;4477;0;663;3210;-2;1;0
0;62;4477;0;663;419;-2;2;61
0;63;4477;0;406;419;44;3;62
0;64;4883;0;257;419;-1;3;62
0;65;4477;419;663;419;-2;2;61
0;66;4477;419;406;419;45;3;65
0;67;4883;419;257;419;-1;3;65
0;68;4477;838;663;914;-1;2;61
0;69;4477;1752;663;1060;30;2;61
0;70;4477;2812;663;398;-1;2;61
0;71;5140;0;456;3210;-2;1;0
0;72;5140;0;456;440;-2;2;71
0;73;5140;0;428;440;42;3;72
0;74;5568;0;28;440;-1;3;72
0;75;5140;440;456;440;-2;2;71
0;76;5140;440;428;440;43;3;75
0;77;5568;440;28;440;-1;3;75
0;78;5140;880;456;469;71;2;71
0;79;5140;1349;456;469;65;2;71
0;80;5140;1818;456;469;48;2;71
0;81;5140;2287;456;469;49;2;71
0;82;5140;2756;456;454;-1;2;71
0;83;5596;0;404;3210;-1;1;0
1;84;0;0;6000;3210;-2;0;
1;85;0;0;1076;3210;-2;1;84
1;86;0;0;1076;1989;7;2;85
1;87;0;1989;1076;469;-2;2;85
1;88;0;1989;456;469;52;3;87
1;89;456;1989;620;469;-1;3;87
1;90;0;2458;1076;668;-2;2;85
1;91;0;2458;668;668;36;3;90
1;92;668;2458;408;668;-1;3;90
1;93;0;3126;1076;84;-1;2;85
1;94;1076;0;1077;3210;-2;1;84
1;95;1076;0;1077;1989;12;2;94
1;96;1076;1989;1077;469;-2;2;94
1;97;1076;1989;456;469;54;3;96
1;98;1532;1989;621;469;-1;3;96
1;99;1076;2458;1077;569;-2;2;94
1;100;1076;2458;556;569;68;3;99
1;101;1632;2458;521;569;-1;3;99
1;102;1076;3027;1077;183;-1;2;94
1;103;2153;0;1077;3210;-2;1;84
1;104;2153;0;1077;1989;6;2;103
1;105;2153;1989;1077;469;-2;2;103
1;106;2153;1989;456;469;58;3;105
1;107;2609;1989;621;469;-1;3;105
1;108;2153;2458;1077;569;-2;2;103
1;109;2153;2458;556;569;67;3;108
1;110;2709;2458;521;569;-1;3;108
1;111;2153;3027;1077;183;-1;2;103
1;112;3230;0;1365;3210;-2;1;84
1;113;3230;0;1365;469;-2;2;112
1;114;3230;0;456;469;50;3;113
1;115;3686;0;909;469;-1;3;113
1;116;3230;469;1365;469;-2;2;112
1;117;3230;469;456;469;51;3;116
1;118;3686;469;909;469;-1;3;116
1;119;3230;938;1365;2153;29;2;112
1;120;3230;3091;1365;119;-1;2;112
1;121;4595;0;1330;3210;-2;1;84
1;122;4595;0;1330;469;-2;2;121
1;123;4595;0;456;469;53;3;122
1;124;5051;0;874;469;-1;3;122
1;125;4595;469;1330;469;-2;2;121
1;126;4595;469;456;469;59;3;125
1;127;5051;469;874;469;-1;3;125
1;128;4595;938;1330;2055;37;2;121
1;129;4595;2993;1330;217;-1;2;121
1;130;5925;0;75;3210;-1;1;84
2;131;0;0;6000;3210;-2;0;
2;132;0;0;2010;3210;-2;1;131
2;133;0;0;2010;942;-1;2;132
2;134;0;942;2010;2236;33;2;132
2;135;0;3178;2010;32;-1;2;132
2;136;2010;0;747;3210;-2;1;131
2;137;2010;0;747;469;-2;2;136
2;138;2010;0;456;469;64;3;137
2;139;2466;0;291;469;-1;3;137
2;140;2010;469;747;469;-2;2;136
2;141;2010;469;456;469;55;3;140
2;142;2466;469;291;469;-1;3;140
2;143;2010;938;747;469;-2;2;136
2;144;2010;938;456;469;57;3;143
2;145;2466;938;291;469;-1;3;143
2;146;2010;1407;747;756;-1;2;136
2;147;2010;2163;747;928;40;2;136
2;148;2010;3091;747;119;-1;2;136
2;149;2757;0;1183;3210;-2;1;131
2;150;2757;0;1183;1066;-1;2;149
2;151;2757;1066;1183;1989;11;2;149
2;152;2757;3055;1183;155;-1;2;149
2;153;3940;0;555;3210;-2;1;131
2;154;3940;0;555;469;-2;2;153
2;155;3940;0;456;469;60;3;154
2;156;4396;0;99;469;-1;3;154
2;157;3940;469;555;469;-2;2;153
2;158;3940;469;456;469;61;3;157
2;159;4396;469;99;469;-1;3;157
2;160;3940;938;555;469;-2;2;153
2;161;3940;938;456;469;62;3;160
2;162;4396;938;99;469;-1;3;160
2;163;3940;1407;555;568;70;2;153
2;164;3940;1975;555;568;69;2;153
2;165;3940;2543;555;667;-1;2;153
2;166;4495;0;1505;3210;-1;1;131
3;167;0;0;6000;3210;-2;0;
3;168;0;0;3333;3210;-2;1;167
3;169;0;0;3333;1989;-2;2;168
3;170;0;0;1183;1989;8;3;169
3;171;1183;0;1203;1989;9;3;169
3;172;2386;0;947;1989;-1;3;169
3;173;0;1989;3333;411;-1;2;168
3;174;0;2400;3333;627;38;2;168
3;175;0;3027;3333;183;-1;2;168
3;176;3333;0;1203;3210;-2;1;167
3;177;3333;0;1203;1989;10;2;176
3;178;3333;1989;1203;1221;-1;2;176
3;179;4536;0;1294;3210;-2;1;167
3;180;4536;0;1294;1573;19;2;179
3;181;4536;1573;1294;1573;18;2;179
3;182;4536;3146;1294;64;-1;2;179
3;183;5830;0;170;3210;-1;1;167
4;184;0;0;6000;3210;-2;0;
4;185;0;0;3296;3210;-2;1;184
4;186;0;0;3296;2083;-2;2;185
4;187;0;0;1752;2083;31;3;186
4;188;1752;0;1544;2083;-1;3;186
4;189;0;2083;3296;802;28;2;185
4;190;0;2885;3296;325;-1;2;185
4;191;3296;0;1681;3210;-2;1;184
4;192;3296;0;1681;413;-1;2;191
4;193;3296;413;1681;1707;32;2;191
