PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1817;3210;-2;1;0
0;2;0;0;1817;1684;-2;2;1
0;3;0;0;864;1684;21;3;2
0;4;864;0;276;1684;-1;3;2
0;5;1140;0;677;1684;-2;3;2
0;6;1140;0;677;1614;7;4;5
0;7;1140;1614;677;70;-1;4;5
0;8;0;1684;1817;864;-2;2;1
0;9;0;1684;1684;864;22;3;8
0;10;1684;1684;133;864;-1;3;8
0;11;0;2548;1817;610;-2;2;1
0;12;0;2548;1752;610;0;3;11
0;13;1752;2548;65;610;-1;3;11
0;14;0;3158;1817;52;-1;2;1
0;15;1817;0;2796;3210;-2;1;0
0;16;1817;0;2796;864;-2;2;15
0;17;1817;0;1684;864;23;3;16
0;18;3501;0;821;864;-2;3;16
0;19;3501;0;821;843;28;4;18
0;20;3501;843;821;21;-1;4;18
0;21;4322;0;291;864;-1;3;16
0;22;1817;864;2796;2166;-2;2;15
0;23;1817;864;1398;2166;8;3;22
0;24;3215;864;1398;2166;9;3;22
0;25;1817;3030;2796;180;-1;2;15
0;26;4613;0;1093;3210;-2;1;0
0;27;4613;0;1093;843;-2;2;26
0;28;4613;0;824;843;29;3;27
0;29;5437;0;269;843;-1;3;27
0;30;4613;843;1093;402;-2;2;26
0;31;4613;843;1009;402;30;3;30
0;32;5622;843;84;402;-1;3;30
0;33;4613;1245;1093;1009;-2;2;26
0;34;4613;1245;824;1009;31;3;33
0;35;5437;1245;269;1009;-1;3;33
0;36;4613;2254;1093;843;-2;2;26
0;37;4613;2254;691;843;-2;3;36
0;38;4613;2254;691;321;35;4;37
0;39;4613;2575;691;522;-1;4;37
0;40;5304;2254;402;843;36;3;36
0;41;4613;3097;1093;113;-1;2;26
0;42;5706;0;294;3210;-1;1;0
1;43;0;0;6000;3210;-2;0;
1;44;0;0;3250;3210;-2;1;43
1;45;0;0;3250;1929;-2;2;44
1;46;0;0;824;1929;-2;3;45
1;47;0;0;824;1609;14;4;46
1;48;0;1609;824;320;-1;4;46
1;49;824;0;298;1929;1;3;45
1;50;1122;0;382;1929;-2;3;45
1;51;1122;0;382;1717;15;4;50
1;52;1122;1717;382;212;-1;4;50
1;53;1504;0;798;1929;2;3;45
1;54;2302;0;864;1929;-2;3;45
1;55;2302;0;864;1684;24;4;54
1;56;2302;1684;864;245;-1;4;54
1;57;3166;0;84;1929;-1;3;45
1;58;0;1929;3250;1259;-2;2;44
1;59;0;1929;212;1259;-2;3;58
1;60;0;1929;212;1096;25;4;59
1;61;0;3025;212;163;-1;4;59
1;62;212;1929;782;1259;-2;3;58
1;63;212;1929;782;1096;26;4;62
1;64;212;3025;782;163;-1;4;62
1;65;994;1929;128;1259;-1;3;58
1;66;1122;1929;2128;1259;3;3;58
1;67;0;3188;3250;22;-1;2;44
1;68;3250;0;2058;3210;-2;1;43
1;69;3250;0;2058;1027;-2;2;68
1;70;3250;0;821;1027;32;3;69
1;71;4071;0;1237;1027;-1;3;69
1;72;3250;1027;2058;382;-2;2;68
1;73;3250;1027;1717;382;16;3;72
1;74;4967;1027;341;382;-1;3;72
1;75;3250;1409;2058;947;-2;2;68
1;76;3250;1409;2013;947;17;3;75
1;77;5263;1409;45;947;-1;3;75
1;78;3250;2356;2058;728;10;2;68
1;79;3250;3084;2058;126;-1;2;68
1;80;5308;0;496;3210;-2;1;43
1;81;5308;0;496;584;-2;2;80
1;82;5308;0;296;584;4;3;81
1;83;5604;0;200;584;-1;3;81
1;84;5308;584;496;784;5;2;80
1;85;5308;1368;496;784;6;2;80
1;86;5308;2152;496;1058;-1;2;80
1;87;5804;0;196;3210;-1;1;43
2;88;0;0;6000;3210;-2;0;
2;89;0;0;1939;3210;-2;1;88
2;90;0;0;1939;821;-2;2;89
2;91;0;0;675;821;-1;3;90
2;92;675;0;1027;821;33;3;90
2;93;1702;0;237;821;-1;3;90
2;94;0;821;1939;2053;-2;2;89
2;95;0;821;947;2053;-2;3;94
2;96;0;821;947;2013;18;4;95
2;97;0;2834;947;40;-1;4;95
2;98;947;821;992;2053;19;3;94
2;99;0;2874;1939;336;-1;2;89
2;100;1939;0;2053;3210;-2;1;88
2;101;1939;0;2053;1905;-2;2;100
2;102;1939;0;604;1905;-2;3;101
2;103;1939;0;604;1609;27;4;102
2;104;1939;1609;604;296;-1;4;102
2;105;2543;0;354;1905;11;3;101
2;106;2897;0;864;1905;-2;3;101
2;107;2897;0;864;1684;34;4;106
2;108;2897;1684;864;221;-1;4;106
2;109;3761;0;231;1905;-1;3;101
2;110;1939;1905;2053;992;20;2;100
2;111;1939;2897;2053;313;-1;2;100
2;112;3992;0;1183;3210;-2;1;88
2;113;3992;0;1183;1905;-2;2;112
2;114;3992;0;822;1905;12;3;113
2;115;4814;0;361;1905;-1;3;113
2;116;3992;1905;1183;1218;-2;2;112
2;117;3992;1905;506;1218;-1;3;116
2;118;4498;1905;677;1218;13;3;116
2;119;3992;3123;1183;87;-1;2;112
2;120;5175;0;825;3210;-3;1;88
