PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1979;3210;-2;1;0
0;2;0;0;1979;234;-2;2;1
0;3;0;0;1827;234;0;3;2
0;4;1827;0;152;234;-1;3;2
0;5;0;234;1979;914;1;2;1
0;6;0;1148;1979;914;2;2;1
0;7;0;2062;1979;733;-2;2;1
0;8;0;2062;1583;733;3;3;7
0;9;1583;2062;396;733;-1;3;7
0;10;0;2795;1979;415;-1;2;1
0;11;1979;0;673;3210;-2;1;0
0;12;1979;0;673;2156;4;2;11
0;13;1979;2156;673;1054;-1;2;11
0;14;2652;0;500;3210;-2;1;0
0;15;2652;0;500;830;5;2;14
0;16;2652;830;500;2298;-2;2;14
0;17;2652;830;428;2298;6;3;16
0;18;3080;830;72;2298;-1;3;16
0;19;2652;3128;500;82;-1;2;14
0;20;3152;0;1366;3210;-2;1;0
0;21;3152;0;1366;1939;-2;2;20
0;22;3152;0;498;1939;-2;3;21
0;23;3152;0;498;1828;7;4;22
0;24;3152;1828;498;111;-1;4;22
0;25;3650;0;821;1939;8;3;21
0;26;4471;0;47;1939;-1;3;21
0;27;3152;1939;1366;368;-2;2;20
0;28;3152;1939;871;368;9;3;27
0;29;4023;1939;495;368;-1;3;27
0;30;3152;2307;1366;847;10;2;20
0;31;3152;3154;1366;56;-1;2;20
0;32;4518;0;805;3210;-2;1;0
0;33;4518;0;805;1524;11;2;32
0;34;4518;1524;805;748;12;2;32
0;35;4518;2272;805;938;-1;2;32
0;36;5323;0;626;3210;-2;1;0
0;37;5323;0;626;753;13;2;36
0;38;5323;753;626;1468;-2;2;36
0;39;5323;753;602;1468;14;3;38
0;40;5925;753;24;1468;-1;3;38
0;41;5323;2221;626;989;-1;2;36
0;42;5949;0;51;3210;-1;1;0
1;43;0;0;6000;3210;-2;0;
1;44;0;0;1685;3210;-2;1;43
1;45;0;0;1685;1827;-2;2;44
1;46;0;0;869;1827;-2;3;45
1;47;0;0;869;1689;19;4;46
1;48;0;1689;869;138;-1;4;46
1;49;869;0;816;1827;20;3;45
1;50;0;1827;1685;319;-2;2;44
1;51;0;1827;1535;319;15;3;50
1;52;1535;1827;150;319;-1;3;50
1;53;0;2146;1685;319;-2;2;44
1;54;0;2146;752;319;16;3;53
1;55;752;2146;933;319;-1;3;53
1;56;0;2465;1685;319;-2;2;44
1;57;0;2465;1492;319;17;3;56
1;58;1492;2465;193;319;-1;3;56
1;59;0;2784;1685;319;-2;2;44
1;60;0;2784;753;319;18;3;59
1;61;753;2784;932;319;-1;3;59
1;62;0;3103;1685;107;-1;2;44
1;63;1685;0;4315;3210;-1;1;43
