PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;826;3210;-2;1;0
0;2;0;0;826;1088;-2;2;1
0;3;0;0;767;1088;92;3;2
0;4;767;0;59;1088;-1;3;2
0;5;0;1088;826;1986;20;2;1
0;6;0;3074;826;136;-1;2;1
0;7;826;0;1134;3210;-2;1;0
0;8;826;0;1134;2163;21;2;7
0;9;826;2163;1134;265;-2;2;7
0;10;826;2163;925;265;52;3;9
0;11;1751;2163;209;265;-1;3;9
0;12;826;2428;1134;678;-2;2;7
0;13;826;2428;260;678;-1;3;12
0;14;1086;2428;848;678;53;3;12
0;15;1934;2428;26;678;-1;3;12
0;16;826;3106;1134;104;-1;2;7
0;17;1960;0;1090;3210;-2;1;0
0;18;1960;0;1090;2030;-2;2;17
0;19;1960;0;740;2030;-2;3;18
0;20;1960;0;740;1945;54;4;19
0;21;1960;1945;740;85;-1;4;19
0;22;2700;0;350;2030;119;3;18
0;23;1960;2030;1090;921;-2;2;17
0;24;1960;2030;1033;921;22;3;23
0;25;2993;2030;57;921;-1;3;23
0;26;1960;2951;1090;259;-1;2;17
0;27;3050;0;1321;3210;-2;1;0
0;28;3050;0;1321;1193;-2;2;27
0;29;3050;0;554;1193;55;3;28
0;30;3604;0;554;1193;56;3;28
0;31;4158;0;213;1193;-1;3;28
0;32;3050;1193;1321;1978;40;2;27
0;33;3050;3171;1321;39;-1;2;27
0;34;4371;0;855;3210;-2;1;0
0;35;4371;0;855;1193;-2;2;34
0;36;4371;0;554;1193;57;3;35
0;37;4925;0;301;1193;-1;3;35
0;38;4371;1193;855;1907;23;2;34
0;39;4371;3100;855;110;-1;2;34
0;40;5226;0;588;3210;-2;1;0
0;41;5226;0;588;1204;-2;2;40
0;42;5226;0;510;1204;24;3;41
0;43;5736;0;78;1204;-1;3;41
0;44;5226;1204;588;316;-2;2;40
0;45;5226;1204;486;316;109;3;44
0;46;5712;1204;102;316;-1;3;44
0;47;5226;1520;588;316;-2;2;40
0;48;5226;1520;486;316;110;3;47
0;49;5712;1520;102;316;-1;3;47
0;50;5226;1836;588;1063;111;2;40
0;51;5226;2899;588;311;-1;2;40
0;52;5814;0;186;3210;-1;1;0
1;53;0;0;6000;3210;-2;0;
1;54;0;0;616;3210;-2;1;53
1;55;0;0;616;1193;-2;2;54
1;56;0;0;554;1193;58;3;55
1;57;554;0;62;1193;-1;3;55
1;58;0;1193;616;1710;-2;2;54
1;59;0;1193;308;1710;93;3;58
1;60;308;1193;308;1710;94;3;58
1;61;0;2903;616;307;-1;2;54
1;62;616;0;1851;3210;-2;1;53
1;63;616;0;1851;553;-2;2;62
1;64;616;0;1309;553;0;3;63
1;65;1925;0;542;553;-1;3;63
1;66;616;553;1851;366;-2;2;62
1;67;616;553;1405;366;1;3;66
1;68;2021;553;446;366;-1;3;66
1;69;616;919;1851;2195;95;2;62
1;70;616;3114;1851;96;-1;2;62
1;71;2467;0;554;3210;-2;1;53
1;72;2467;0;554;1193;59;2;71
1;73;2467;1193;554;890;-2;2;71
1;74;2467;1193;444;890;72;3;73
1;75;2911;1193;110;890;-1;3;73
1;76;2467;2083;554;823;-2;2;71
1;77;2467;2083;421;823;41;3;76
1;78;2888;2083;133;823;-1;3;76
1;79;2467;2906;554;304;-1;2;71
1;80;3021;0;986;3210;-2;1;53
1;81;3021;0;986;1063;-2;2;80
1;82;3021;0;588;1063;112;3;81
1;83;3609;0;398;1063;-1;3;81
1;84;3021;1063;986;880;-2;2;80
1;85;3021;1063;890;880;73;3;84
1;86;3911;1063;96;880;-1;3;84
1;87;3021;1943;986;1240;-2;2;80
1;88;3021;1943;436;1240;-1;3;87
1;89;3457;1943;550;1240;25;3;87
1;90;3021;3183;986;27;-1;2;80
1;91;4007;0;1437;3210;-2;1;53
1;92;4007;0;1437;1050;-2;2;91
1;93;4007;0;1340;1050;96;3;92
1;94;5347;0;97;1050;-1;3;92
1;95;4007;1050;1437;1928;97;2;91
1;96;4007;2978;1437;232;-1;2;91
1;97;5444;0;508;3210;-2;1;53
1;98;5444;0;508;1405;-2;2;97
1;99;5444;0;366;1405;2;3;98
1;100;5810;0;142;1405;-1;3;98
1;101;5444;1405;508;890;-2;2;97
1;102;5444;1405;444;890;74;3;101
1;103;5888;1405;64;890;-1;3;101
1;104;5444;2295;508;849;42;2;97
1;105;5444;3144;508;66;-1;2;97
1;106;5952;0;48;3210;-1;1;53
2;107;0;0;6000;3210;-2;0;
2;108;0;0;1074;3210;-2;1;107
2;109;0;0;1074;769;-2;2;108
2;110;0;0;938;769;75;3;109
2;111;938;0;136;769;-1;3;109
2;112;0;769;1074;2336;43;2;108
2;113;0;3105;1074;105;-1;2;108
2;114;1074;0;642;3210;-2;1;107
2;115;1074;0;642;1193;-2;2;114
2;116;1074;0;554;1193;60;3;115
2;117;1628;0;88;1193;-1;3;115
2;118;1074;1193;642;1911;3;2;114
2;119;1074;3104;642;106;-1;2;114
2;120;1716;0;642;3210;-2;1;107
2;121;1716;0;642;1063;-2;2;120
2;122;1716;0;588;1063;113;3;121
2;123;2304;0;54;1063;-1;3;121
2;124;1716;1063;642;1911;4;2;120
2;125;1716;2974;642;236;-1;2;120
2;126;2358;0;729;3210;-2;1;107
2;127;2358;0;729;1063;-2;2;126
2;128;2358;0;588;1063;114;3;127
2;129;2946;0;141;1063;-1;3;127
2;130;2358;1063;729;2043;5;2;126
2;131;2358;3106;729;104;-1;2;126
2;132;3087;0;729;3210;-2;1;107
2;133;3087;0;729;928;-2;2;132
2;134;3087;0;618;928;44;3;133
2;135;3705;0;111;928;-1;3;133
2;136;3087;928;729;2043;6;2;132
2;137;3087;2971;729;239;-1;2;132
2;138;3816;0;972;3210;-2;1;107
2;139;3816;0;972;976;-2;2;138
2;140;3816;0;871;976;45;3;139
2;141;4687;0;101;976;-1;3;139
2;142;3816;976;972;401;-2;2;138
2;143;3816;976;938;401;76;3;142
2;144;4754;976;34;401;-1;3;142
2;145;3816;1377;972;1675;26;2;138
2;146;3816;3052;972;158;-1;2;138
2;147;4788;0;1189;3210;-2;1;107
2;148;4788;0;1189;833;-2;2;147
2;149;4788;0;718;833;77;3;148
2;150;5506;0;471;833;-1;3;148
2;151;4788;833;1189;318;-2;2;147
2;152;4788;833;774;318;115;3;151
2;153;5562;833;415;318;-1;3;151
2;154;4788;1151;1189;318;-2;2;147
2;155;4788;1151;774;318;116;3;154
2;156;5562;1151;415;318;-1;3;154
2;157;4788;1469;1189;1637;-2;2;147
2;158;4788;1469;553;1637;98;3;157
2;159;5341;1469;636;1637;-2;3;157
2;160;5341;1469;636;1160;117;4;159
2;161;5341;2629;636;477;-1;4;159
2;162;4788;3106;1189;104;-1;2;147
2;163;5977;0;23;3210;-1;1;107
3;164;0;0;6000;3210;-2;0;
3;165;0;0;863;3210;-2;1;164
3;166;0;0;863;1160;-2;2;165
3;167;0;0;636;1160;118;3;166
3;168;636;0;227;1160;-1;3;166
3;169;0;1160;863;1997;27;2;165
3;170;0;3157;863;53;-1;2;165
3;171;863;0;1351;3210;-2;1;164
3;172;863;0;1351;2090;-2;2;171
3;173;863;0;497;2090;78;3;172
3;174;1360;0;854;2090;-2;3;172
3;175;1360;0;854;2060;79;4;174
3;176;1360;2060;854;30;-1;4;174
3;177;863;2090;1351;483;-2;2;171
3;178;863;2090;1180;483;80;3;177
3;179;2043;2090;171;483;-1;3;177
3;180;863;2573;1351;40;-1;2;171
3;181;863;2613;1351;554;-2;2;171
3;182;863;2613;898;554;61;3;181
3;183;1761;2613;453;554;-1;3;181
3;184;863;3167;1351;43;-1;2;171
3;185;2214;0;1698;3210;-2;1;164
3;186;2214;0;1698;1983;-2;2;185
3;187;2214;0;633;1983;-2;3;186
3;188;2214;0;633;1471;81;4;187
3;189;2214;1471;633;512;-1;4;187
3;190;2847;0;1037;1983;99;3;186
3;191;3884;0;28;1983;-1;3;186
3;192;2214;1983;1698;1085;7;2;185
3;193;2214;3068;1698;142;-1;2;185
3;194;3912;0;898;3210;-2;1;164
3;195;3912;0;898;1036;-2;2;194
3;196;3912;0;860;1036;82;3;195
3;197;4772;0;38;1036;-1;3;195
3;198;3912;1036;898;1373;-2;2;194
3;199;3912;1036;748;1373;100;3;198
3;200;4660;1036;150;1373;-1;3;198
3;201;3912;2409;898;554;62;2;194
3;202;3912;2963;898;247;-1;2;194
3;203;4810;0;607;3210;-2;1;164
3;204;4810;0;607;898;-2;2;203
3;205;4810;0;556;898;63;3;204
3;206;5366;0;51;898;-1;3;204
3;207;4810;898;607;315;-1;2;203
3;208;4810;1213;607;1754;46;2;203
3;209;4810;2967;607;243;-1;2;203
3;210;5417;0;556;3210;-2;1;164
3;211;5417;0;556;898;64;2;210
3;212;5417;898;556;898;65;2;210
3;213;5417;1796;556;1414;-1;2;210
3;214;5973;0;27;3210;-1;1;164
4;215;0;0;6000;3210;-2;0;
4;216;0;0;978;3210;-2;1;215
4;217;0;0;978;1483;-2;2;216
4;218;0;0;451;1483;66;3;217
4;219;451;0;451;1483;67;3;217
4;220;902;0;76;1483;-1;3;217
4;221;0;1483;978;1687;28;2;216
4;222;0;3170;978;40;-1;2;216
4;223;978;0;788;3210;-2;1;215
4;224;978;0;788;1754;-2;2;223
4;225;978;0;587;1754;47;3;224
4;226;1565;0;201;1754;-1;3;224
4;227;978;1754;788;1358;68;2;223
4;228;978;3112;788;98;-1;2;223
4;229;1766;0;2093;3210;-2;1;215
4;230;1766;0;2093;2122;-2;2;229
4;231;1766;0;799;2122;-2;3;230
4;232;1766;0;799;2013;83;4;231
4;233;1766;2013;799;109;-1;4;231
4;234;2565;0;1254;2122;8;3;230
4;235;3819;0;40;2122;-1;3;230
4;236;1766;2122;2093;303;-2;2;229
4;237;1766;2122;988;303;69;3;236
4;238;2754;2122;1105;303;-1;3;236
4;239;1766;2425;2093;756;101;2;229
4;240;1766;3181;2093;29;-1;2;229
4;241;3859;0;530;3210;-2;1;215
4;242;3859;0;530;1061;-2;2;241
4;243;3859;0;491;1061;70;3;242
4;244;4350;0;39;1061;-1;3;242
4;245;3859;1061;530;1928;102;2;241
4;246;3859;2989;530;221;-1;2;241
