PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;0;0;0;1827;3210;-2;1;0
0;1;1827;0;1979;3210;-2;1;0
0;2;0;0;1827;234;0;2;0
0;3;0;234;1827;1979;-2;2;0
0;4;0;2213;1827;997;-1;2;0
0;5;0;234;914;1979;1;3;3
0;6;914;234;913;1979;-1;3;3
0;7;3806;0;673;3210;-2;1;0
0;8;1827;0;1979;914;2;2;1
0;9;1827;914;1979;733;-2;2;1
0;10;1827;1647;1979;1563;-1;2;1
0;11;1827;914;1583;733;3;3;9
0;12;3410;914;396;733;-1;3;9
0;13;4479;0;428;3210;-2;1;0
0;14;3806;0;673;2156;4;2;7
0;15;3806;2156;673;830;-2;2;7
0;16;3806;2986;673;224;-1;2;7
0;17;3806;2156;500;830;5;3;15
0;18;4306;2156;173;830;-1;3;15
0;19;4907;0;498;3210;-2;1;0
0;20;4479;0;428;2298;6;2;13
0;21;4479;2298;428;912;-1;2;13
0;22;5405;0;595;3210;-1;1;0
0;23;4907;0;498;1828;7;2;19
0;24;4907;1828;498;1382;-1;2;19
1;25;0;0;6000;3210;-2;0;
1;25;0;0;1939;3210;-2;1;1
1;26;1939;0;748;3210;-2;1;1
1;27;0;0;1939;821;8;2;25
1;28;0;821;1939;871;-2;2;25
1;29;0;1692;1939;805;-2;2;25
1;30;0;821;368;871;9;3;28
1;31;368;821;1366;871;-2;3;28
1;32;1734;821;205;871;-1;3;28
1;33;368;821;1366;847;10;4;31
1;34;368;1668;1366;24;-1;4;31
1;35;0;2497;1939;713;-1;2;25
1;36;0;1692;1524;805;11;3;29
1;37;1524;1692;415;805;-1;3;29
1;38;2687;0;1468;3210;-2;1;1
1;39;1939;0;748;805;12;2;26
1;40;1939;805;748;750;-1;2;26
1;41;1939;1555;748;753;-2;2;26
1;42;1939;2308;748;902;-1;2;26
1;43;1939;1555;626;753;13;3;41
1;44;2565;1555;122;753;-1;3;41
1;45;4155;0;1689;3210;-2;1;1
1;46;2687;0;1468;602;14;2;38
1;47;2687;602;1468;1535;-2;2;38
1;48;2687;2137;1468;319;-2;2;38
1;49;2687;602;319;1535;15;3;47
1;50;3006;602;752;1535;-2;3;47
1;51;3758;602;319;1535;-2;3;47
1;52;3006;602;752;319;16;4;50
1;53;3006;921;752;1216;-1;4;50
1;54;4077;602;78;1535;-1;3;47
1;55;3758;602;319;1492;17;4;51
1;56;3758;2094;319;43;-1;4;51
1;57;2687;2456;1468;754;-1;2;38
1;58;2687;2137;753;319;18;3;48
1;59;3440;2137;715;319;-1;3;48
1;60;5844;0;156;3210;-3;1;1
1;61;4155;0;1689;869;19;2;45
1;62;4155;869;1689;1827;-2;2;45
1;63;4155;2696;1689;514;-1;2;45
1;64;4155;869;446;1827;-1;3;62
1;65;4601;869;816;1827;20;3;62
1;66;5417;869;427;1827;-1;3;62
