PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;2;0;0;864;3210;-2;1;0
0;4;0;0;864;1684;21;2;2
0;6;0;1684;864;843;-2;2;3
0;8;0;1684;821;843;28;3;6
0;7;821;1684;43;843;-1;3;6
0;10;0;2527;864;321;-2;2;5
0;12;0;2527;691;321;35;3;10
0;11;691;2527;173;321;-1;3;10
0;9;0;2848;864;362;-1;2;5
0;14;864;0;864;3210;-2;1;1
0;16;864;696;864;1684;22;2;14
0;19;864;0;864;402;-2;2;17
0;21;864;0;843;402;36;3;19
0;20;1707;0;21;402;-1;3;19
0;18;864;402;864;294;-1;2;17
0;23;864;2380;864;824;-2;2;15
0;25;864;2380;843;824;29;3;23
0;24;1707;2380;21;824;-1;3;23
0;22;864;3204;864;6;-1;2;15
0;27;1728;0;864;3210;-2;1;13
0;29;1728;0;864;1684;23;2;27
0;31;1728;1684;864;1009;-2;2;28
0;33;1728;1684;402;1009;30;3;31
0;32;2130;1684;462;1009;-1;3;31
0;30;1728;2693;864;517;-1;2;28
0;35;2592;0;864;3210;-2;1;26
0;37;2592;0;864;1684;24;2;35
0;39;2592;1684;864;1009;-2;2;36
0;41;2592;1684;824;1009;31;3;39
0;40;3416;1684;40;1009;-1;3;39
0;38;2592;2693;864;517;-1;2;36
0;43;3456;0;824;3210;-2;1;34
0;45;3456;0;824;1609;14;2;43
0;47;3456;1609;824;1027;-2;2;44
0;49;3456;1609;821;1027;32;3;47
0;48;4277;1609;3;1027;-1;3;47
0;46;3456;2636;824;574;-1;2;44
0;51;4280;0;677;3210;-2;1;42
0;53;4280;0;677;1614;7;2;51
0;55;4280;1614;677;1096;-2;2;52
0;57;4280;1614;212;1096;25;3;55
0;56;4492;1614;465;1096;-1;3;55
0;54;4280;2710;677;500;-1;2;52
0;59;4957;0;610;3210;-2;1;50
0;61;4957;0;610;1752;0;2;59
0;60;4957;1752;610;1458;-1;2;59
0;63;5567;0;382;3210;-2;1;58
0;65;5567;0;382;1717;15;2;63
0;64;5567;1717;382;1493;-1;2;63
0;62;5949;0;51;3210;-1;1;58
1;66;0;0;6000;3210;-2;0;
1;68;0;0;1398;3210;-2;1;66
1;70;0;0;1398;2166;8;2;68
1;72;0;2166;1398;782;-2;2;69
1;74;0;2166;1096;782;26;3;72
1;73;1096;2166;302;782;-1;3;72
1;71;0;2948;1398;262;-1;2;69
1;76;1398;0;1398;3210;-2;1;67
1;78;1398;0;1398;2166;9;2;76
1;80;1398;2166;1398;1027;-2;2;77
1;82;1398;2166;821;1027;33;3;80
1;81;2219;2166;577;1027;-1;3;80
1;79;1398;3193;1398;17;-1;2;77
1;84;2796;0;728;3210;-2;1;75
1;86;2796;0;728;2058;10;2;84
1;85;2796;2058;728;1152;-1;2;84
1;88;3524;0;864;3210;-2;1;83
1;90;3524;0;864;1684;34;2;88
1;89;3524;1684;864;1526;-1;2;88
1;92;4388;0;604;3210;-2;1;87
1;94;4388;385;604;1609;27;2;92
1;95;4388;0;604;385;-1;2;92
1;93;4388;1994;604;1216;-1;2;92
1;97;4992;0;354;3210;-2;1;91
1;99;4992;0;354;1905;11;2;97
1;98;4992;1905;354;1305;-1;2;97
1;101;5346;0;382;3210;-2;1;96
1;103;5346;0;382;1717;16;2;101
1;102;5346;1717;382;1493;-1;2;101
1;100;5728;0;272;3210;-1;1;96
2;104;0;0;6000;3210;-2;0;
2;106;0;0;947;3210;-2;1;104
2;108;0;564;947;2013;17;2;106
2;109;0;0;947;564;-1;2;106
2;107;0;2577;947;633;-1;2;106
2;111;947;0;947;3210;-2;1;105
2;113;947;0;947;2013;18;2;111
2;112;947;2013;947;1197;-1;2;111
2;115;1894;0;992;3210;-2;1;110
2;117;1894;113;992;2053;19;2;115
2;118;1894;0;992;113;-1;2;115
2;116;1894;2166;992;1044;-1;2;115
2;120;2886;0;992;3210;-2;1;114
2;122;2886;0;992;2053;20;2;120
2;121;2886;2053;992;1157;-1;2;120
2;124;3878;0;822;3210;-2;1;119
2;126;3878;0;822;1905;12;2;124
2;125;3878;1905;822;1305;-1;2;124
2;128;4700;0;677;3210;-2;1;123
2;130;4700;0;677;1218;13;2;128
2;132;4700;1218;677;1929;-2;2;129
2;134;4700;1218;298;1929;1;3;132
2;133;4998;1218;379;1929;-1;3;132
2;131;4700;3147;677;63;-1;2;129
2;127;5377;0;623;3210;-1;1;123
3;135;0;0;6000;3210;-2;0;
3;137;0;0;798;3210;-2;1;135
3;139;0;0;798;1929;2;2;137
3;138;0;1929;798;1281;-1;2;137
3;141;798;0;2128;3210;-2;1;136
3;143;798;0;2128;1259;3;2;141
3;145;798;1259;2128;584;-2;2;142
3;147;798;1259;296;584;4;3;145
3;149;1094;1259;784;584;-2;3;146
3;151;1094;1259;784;496;5;4;149
3;150;1094;1755;784;88;-1;4;149
3;148;1878;1259;1048;584;-1;3;146
3;153;798;1843;2128;784;-2;2;144
3;155;798;1843;496;784;6;3;153
3;154;1294;1843;1632;784;-1;3;153
3;152;798;2627;2128;583;-1;2;144
3;140;2926;0;3074;3210;-3;1;136
