PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1827;3210;-2;1;0
0;2;1827;0;1979;3210;-2;1;0
0;3;0;0;1827;234;0;2;1
0;4;0;234;1827;1979;-2;2;1
0;5;0;2213;1827;997;-1;2;1
0;6;0;234;914;1979;1;3;4
0;7;914;234;913;1979;-1;3;4
0;8;3806;0;673;3210;-2;1;0
0;9;1827;0;1979;914;2;2;2
0;10;1827;914;1979;733;-2;2;2
0;11;1827;1647;1979;1563;-1;2;2
0;12;1827;914;1583;733;3;3;10
0;13;3410;914;396;733;-1;3;10
0;14;4479;0;428;3210;-2;1;0
0;15;3806;0;673;2156;4;2;8
0;16;3806;2156;673;830;-2;2;8
0;17;3806;2986;673;224;-1;2;8
0;18;3806;2156;500;830;5;3;16
0;19;4306;2156;173;830;-1;3;16
0;20;4907;0;498;3210;-2;1;0
0;21;4479;0;428;2298;6;2;14
0;22;4479;2298;428;912;-1;2;14
0;23;5405;0;595;3210;-1;1;0
0;24;4907;0;498;1828;7;2;20
0;25;4907;1828;498;1382;-1;2;20
1;26;0;0;6000;3210;-2;0;
1;27;0;0;1939;3210;-2;1;26
1;28;1939;0;748;3210;-2;1;26
1;29;0;0;1939;821;8;2;27
1;30;0;821;1939;871;-2;2;27
1;31;0;1692;1939;805;-2;2;27
1;32;0;821;368;871;9;3;30
1;33;368;821;1366;871;-2;3;30
1;34;1734;821;205;871;-1;3;30
1;35;368;821;1366;847;10;4;33
1;36;368;1668;1366;24;-1;4;33
1;37;0;2497;1939;713;-1;2;27
1;38;0;1692;1524;805;11;3;31
1;39;1524;1692;415;805;-1;3;31
1;40;2687;0;1468;3210;-2;1;26
1;41;1939;0;748;805;12;2;28
1;42;1939;805;748;750;-1;2;28
1;43;1939;1555;748;753;-2;2;28
1;44;1939;2308;748;902;-1;2;28
1;45;1939;1555;626;753;13;3;43
1;46;2565;1555;122;753;-1;3;43
1;47;4155;0;1689;3210;-2;1;26
1;48;2687;0;1468;602;14;2;40
1;49;2687;602;1468;1535;-2;2;40
1;50;2687;2137;1468;319;-2;2;40
1;51;2687;602;319;1535;15;3;49
1;52;3006;602;752;1535;-2;3;49
1;53;3758;602;319;1535;-2;3;49
1;54;3006;602;752;319;16;4;52
1;55;3006;921;752;1216;-1;4;52
1;56;4077;602;78;1535;-1;3;49
1;57;3758;602;319;1492;17;4;53
1;58;3758;2094;319;43;-1;4;53
1;59;2687;2456;1468;754;-1;2;40
1;60;2687;2137;753;319;18;3;50
1;61;3440;2137;715;319;-1;3;50
1;62;5844;0;156;3210;-3;1;26
1;63;4155;0;1689;869;19;2;47
1;64;4155;869;1689;1827;-2;2;47
1;65;4155;2696;1689;514;-1;2;47
1;66;4155;869;446;1827;-1;3;64
1;67;4601;869;816;1827;20;3;64
1;68;5417;869;427;1827;-1;3;64
