PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;403;3210;-2;1;0
0;2;0;0;403;1515;0;2;1
0;3;0;1515;403;721;-2;2;1
0;4;0;1515;335;721;63;3;3
0;5;335;1515;68;721;-1;3;3
0;6;0;2236;403;621;-2;2;1
0;7;0;2236;335;621;64;3;6
0;8;335;2236;68;621;-1;3;6
0;9;0;2857;403;353;-1;2;1
0;10;403;0;386;3210;-2;1;0
0;11;403;0;386;1495;1;2;10
0;12;403;1495;386;1495;2;2;10
0;13;403;2990;386;220;-1;2;10
0;14;789;0;641;3210;-2;1;0
0;15;789;0;641;1455;44;2;14
0;16;789;1455;641;1286;-2;2;14
0;17;789;1455;420;1286;10;3;16
0;18;1209;1455;221;1286;-1;3;16
0;19;789;2741;641;469;-1;2;14
0;20;1430;0;420;3210;-2;1;0
0;21;1430;0;420;1286;11;2;20
0;22;1430;1286;420;719;-2;2;20
0;23;1430;1286;381;719;53;3;22
0;24;1811;1286;39;719;-1;3;22
0;25;1430;2005;420;1205;-1;2;20
0;26;1850;0;420;3210;-2;1;0
0;27;1850;0;420;1286;12;2;26
0;28;1850;1286;420;769;-2;2;26
0;29;1850;1286;399;769;54;3;28
0;30;2249;1286;21;769;-1;3;28
0;31;1850;2055;420;1155;-1;2;26
0;32;2270;0;401;3210;-2;1;0
0;33;2270;0;401;1515;13;2;32
0;34;2270;1515;401;1695;-1;2;32
0;35;2671;0;593;3210;-2;1;0
0;36;2671;0;593;1190;81;2;35
0;37;2671;1190;593;117;-1;2;35
0;38;2671;1307;593;663;-2;2;35
0;39;2671;1307;433;663;55;3;38
0;40;3104;1307;160;663;-1;3;38
0;41;2671;1970;593;1240;-1;2;35
0;42;3264;0;401;3210;-2;1;0
0;43;3264;0;401;1515;14;2;42
0;44;3264;1515;401;1695;-1;2;42
0;45;3665;0;500;3210;-2;1;0
0;46;3665;0;500;540;71;2;45
0;47;3665;540;500;102;-1;2;45
0;48;3665;642;500;601;-2;2;45
0;49;3665;642;398;601;72;3;48
0;50;4063;642;102;601;-1;3;48
0;51;3665;1243;500;663;-2;2;45
0;52;3665;1243;433;663;56;3;51
0;53;4098;1243;67;663;-1;3;51
0;54;3665;1906;500;1304;-1;2;45
0;55;4165;0;403;3210;-2;1;0
0;56;4165;0;403;1515;15;2;55
0;57;4165;1515;403;1695;-1;2;55
0;58;4568;0;1406;3210;-2;1;0
0;59;4568;0;1406;1258;-2;2;58
0;60;4568;0;605;1258;57;3;59
0;61;5173;0;605;1258;58;3;59
0;62;5778;0;196;1258;-1;3;59
0;63;4568;1258;1406;1795;-2;2;58
0;64;4568;1258;299;1795;-1;3;63
0;65;4867;1258;742;1795;-2;3;63
0;66;4867;1258;742;600;3;4;65
0;67;4867;1858;742;1195;-1;4;65
0;68;5609;1258;365;1795;-2;3;63
0;69;5609;1258;365;288;-1;4;68
0;70;5609;1546;365;1507;59;4;68
0;71;4568;3053;1406;157;-1;2;58
0;72;5974;0;26;3210;-1;1;0
1;73;0;0;6000;3210;-2;0;
1;74;0;0;1240;3210;-2;1;73
1;75;0;0;1240;2088;-2;2;74
1;76;0;0;1178;2088;4;3;75
1;77;1178;0;62;2088;-1;3;75
1;78;0;2088;1240;910;-2;2;74
1;79;0;2088;539;910;-2;3;78
1;80;0;2088;539;872;73;4;79
1;81;0;2960;539;38;-1;4;79
1;82;539;2088;701;910;26;3;78
1;83;0;2998;1240;212;-1;2;74
1;84;1240;0;941;3210;-2;1;73
1;85;1240;0;941;1507;-2;2;84
1;86;1240;0;365;1507;60;3;85
1;87;1605;0;380;1507;61;3;85
1;88;1985;0;196;1507;-1;3;85
1;89;1240;1507;941;1507;-2;2;84
1;90;1240;1507;380;1507;62;3;89
1;91;1620;1507;561;1507;-2;3;89
1;92;1620;1507;561;1346;5;4;91
1;93;1620;2853;561;161;-1;4;91
1;94;1240;3014;941;196;-1;2;84
1;95;2181;0;814;3210;-2;1;73
1;96;2181;0;814;1020;36;2;95
1;97;2181;1020;814;1346;-2;2;95
1;98;2181;1020;153;1346;-1;3;97
1;99;2334;1020;561;1346;6;3;97
1;100;2895;1020;100;1346;-1;3;97
1;101;2181;2366;814;844;-1;2;95
1;102;2995;0;321;3210;-2;1;73
1;103;2995;0;321;1533;7;2;102
1;104;2995;1533;321;1677;-1;2;102
1;105;3316;0;1029;3210;-2;1;73
1;106;3316;0;1029;1533;-2;2;105
1;107;3316;0;321;1533;8;3;106
1;108;3637;0;708;1533;-2;3;106
1;109;3637;0;708;1324;27;4;108
1;110;3637;1324;708;209;-1;4;108
1;111;3316;1533;1029;644;-2;2;105
1;112;3316;1533;330;644;9;3;111
1;113;3646;1533;699;644;-1;3;111
1;114;3316;2177;1029;1033;-1;2;105
1;115;4345;0;593;3210;-2;1;73
1;116;4345;0;593;1190;82;2;115
1;117;4345;1190;593;2020;-1;2;115
1;118;4938;0;699;3210;-2;1;73
1;119;4938;0;699;1174;65;2;118
1;120;4938;1174;699;399;-2;2;118
1;121;4938;1174;669;399;66;3;120
1;122;5607;1174;30;399;-1;3;120
1;123;4938;1573;699;1637;-1;2;118
1;124;5637;0;363;3210;-1;1;73
2;125;0;0;6000;3210;-2;0;
2;126;0;0;735;3210;-2;1;125
2;127;0;0;735;1957;83;2;126
2;128;0;1957;735;718;-2;2;126
2;129;0;1957;484;718;67;3;128
2;130;484;1957;251;718;-1;3;128
2;131;0;2675;735;535;-1;2;126
2;132;735;0;666;3210;-2;1;125
2;133;735;0;666;2205;84;2;132
2;134;735;2205;666;1005;-1;2;132
2;135;1401;0;598;3210;-2;1;125
2;136;1401;0;598;718;-2;2;135
2;137;1401;0;484;718;68;3;136
2;138;1885;0;114;718;-1;3;136
2;139;1401;718;598;403;-1;2;135
2;140;1401;1121;598;1069;69;2;135
2;141;1401;2190;598;1020;-1;2;135
2;142;1999;0;799;3210;-2;1;125
2;143;1999;0;799;1071;70;2;142
2;144;1999;1071;799;860;-2;2;142
2;145;1999;1071;73;860;-1;3;144
2;146;2072;1071;701;860;45;3;144
2;147;2773;1071;25;860;-1;3;144
2;148;1999;1931;799;1279;-1;2;142
2;149;2798;0;752;3210;-2;1;125
2;150;2798;0;752;1913;28;2;149
2;151;2798;1913;752;1297;-1;2;149
2;152;3550;0;665;3210;-2;1;125
2;153;3550;0;665;1852;29;2;152
2;154;3550;1852;665;1358;-1;2;152
2;155;4215;0;838;3210;-2;1;125
2;156;4215;0;838;1130;-2;2;155
2;157;4215;0;284;1130;-2;3;156
2;158;4215;0;284;810;30;4;157
2;159;4215;810;284;320;-1;4;157
2;160;4499;0;520;1130;31;3;156
2;161;5019;0;34;1130;-1;3;156
2;162;4215;1130;838;780;85;2;155
2;163;4215;1910;838;1300;-1;2;155
2;164;5053;0;701;3210;-2;1;125
2;165;5053;0;701;1130;-2;2;164
2;166;5053;0;520;1130;32;3;165
2;167;5573;0;181;1130;-1;3;165
2;168;5053;1130;701;860;46;2;164
2;169;5053;1990;701;1220;-1;2;164
2;170;5754;0;246;3210;-1;1;125
3;171;0;0;6000;3210;-2;0;
3;172;0;0;808;3210;-2;1;171
3;173;0;0;808;818;16;2;172
3;174;0;818;808;31;-1;2;172
3;175;0;849;808;2039;-2;2;172
3;176;0;849;781;2039;47;3;175
3;177;781;849;27;2039;-1;3;175
3;178;0;2888;808;322;-1;2;172
3;179;808;0;719;3210;-2;1;171
3;180;808;0;719;1905;33;2;179
3;181;808;1905;719;1305;-1;2;179
3;182;1527;0;719;3210;-2;1;171
3;183;1527;0;719;1905;34;2;182
3;184;1527;1905;719;1305;-1;2;182
3;185;2246;0;462;3210;-2;1;171
3;186;2246;0;462;651;-1;2;185
3;187;2246;651;462;1115;17;2;185
3;188;2246;1766;462;1444;-1;2;185
3;189;2708;0;686;3210;-2;1;171
3;190;2708;0;686;1528;48;2;189
3;191;2708;1528;686;1682;-1;2;189
3;192;3394;0;924;3210;-2;1;171
3;193;3394;0;924;1115;-2;2;192
3;194;3394;0;462;1115;18;3;193
3;195;3856;0;462;1115;19;3;193
3;196;3394;1115;924;735;-2;2;192
3;197;3394;1115;872;735;74;3;196
3;198;4266;1115;52;735;-1;3;196
3;199;3394;1850;924;1360;-1;2;192
3;200;4318;0;674;3210;-2;1;171
3;201;4318;0;674;1001;49;2;200
3;202;4318;1001;674;872;-2;2;200
3;203;4318;1001;545;872;75;3;202
3;204;4863;1001;129;872;-1;3;202
3;205;4318;1873;674;1337;-1;2;200
3;206;4992;0;674;3210;-2;1;171
3;207;4992;0;674;1001;50;2;206
3;208;4992;1001;674;872;-2;2;206
3;209;4992;1001;572;872;76;3;208
3;210;5564;1001;102;872;-1;3;208
3;211;4992;1873;674;1337;-1;2;206
3;212;5666;0;334;3210;-1;1;171
4;213;0;0;6000;3210;-2;0;
4;214;0;0;935;3210;-2;1;213
4;215;0;0;935;2013;20;2;214
4;216;0;2013;935;926;-2;2;214
4;217;0;2013;645;926;77;3;216
4;218;645;2013;290;926;-1;3;216
4;219;0;2939;935;271;-1;2;214
4;220;935;0;567;3210;-2;1;213
4;221;935;0;567;1332;51;2;220
4;222;935;1332;567;150;-1;2;220
4;223;935;1482;567;1332;52;2;220
4;224;935;2814;567;396;-1;2;220
4;225;1502;0;935;3210;-2;1;213
4;226;1502;0;935;2013;21;2;225
4;227;1502;2013;935;872;-2;2;225
4;228;1502;2013;633;872;78;3;227
4;229;2135;2013;302;872;-1;3;227
4;230;1502;2885;935;325;-1;2;225
4;231;2437;0;853;3210;-2;1;213
4;232;2437;0;853;1797;22;2;231
4;233;2437;1797;853;872;-2;2;231
4;234;2437;1797;645;872;79;3;233
4;235;3082;1797;208;872;-1;3;233
4;236;2437;2669;853;541;-1;2;231
4;237;3290;0;853;3210;-2;1;213
4;238;3290;0;853;1797;23;2;237
4;239;3290;1797;853;872;-2;2;237
4;240;3290;1797;645;872;80;3;239
4;241;3935;1797;208;872;-1;3;239
4;242;3290;2669;853;541;-1;2;237
4;243;4143;0;1797;3210;-2;1;213
4;244;4143;0;1797;1206;-2;2;243
4;245;4143;0;814;1206;-2;3;244
4;246;4143;0;814;186;-1;4;245
4;247;4143;186;814;1020;37;4;245
4;248;4957;0;808;1206;-2;3;244
4;249;4957;0;808;818;35;4;248
4;250;4957;818;808;388;-1;4;248
4;251;5765;0;175;1206;-1;3;244
4;252;4143;1206;1797;564;-1;2;243
4;253;4143;1770;1797;853;24;2;243
4;254;4143;2623;1797;587;-1;2;243
4;255;5940;0;60;3210;-1;1;213
5;256;0;0;6000;3210;-2;0;
5;257;0;0;1883;3210;-2;1;256
5;258;0;0;1883;2093;-2;2;257
5;259;0;0;853;2093;-2;3;258
5;260;0;0;853;1797;25;4;259
5;261;0;1797;853;296;-1;4;259
5;262;853;0;1030;2093;38;3;258
5;263;0;2093;1883;820;-2;2;257
5;264;0;2093;508;820;39;3;263
5;265;508;2093;508;820;40;3;263
5;266;1016;2093;508;820;41;3;263
5;267;1524;2093;359;820;-1;3;263
5;268;0;2913;1883;297;-1;2;257
5;269;1883;0;700;3210;-2;1;256
5;270;1883;0;700;357;-1;2;269
5;271;1883;357;700;910;42;2;269
5;272;1883;1267;700;910;43;2;269
5;273;1883;2177;700;1033;-1;2;269
5;274;2583;0;3417;3210;-1;1;256
