PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1485;3210;-2;1;0
0;2;0;0;1485;2089;-2;2;1
0;3;0;0;1382;2089;45;3;2
0;4;1382;0;103;2089;-1;3;2
0;5;0;2089;1485;735;36;2;1
0;6;0;2824;1485;386;-1;2;1
0;7;1485;0;2472;3210;-2;1;0
0;8;1485;0;2472;2422;-2;2;7
0;9;1485;0;1141;2422;37;3;8
0;10;2626;0;1331;2422;38;3;8
0;11;1485;2422;2472;718;-2;2;7
0;12;1485;2422;1942;718;18;3;11
0;13;3427;2422;530;718;-1;3;11
0;14;1485;3140;2472;70;-1;2;7
0;15;3957;0;827;3210;-2;1;0
0;16;3957;0;827;1822;9;2;15
0;17;3957;1822;827;1170;-2;2;15
0;18;3957;1822;381;1170;27;3;17
0;19;4338;1822;446;1170;-1;3;17
0;20;3957;2992;827;218;-1;2;15
0;21;4784;0;875;3210;-2;1;0
0;22;4784;0;875;1822;-2;2;21
0;23;4784;0;827;1822;10;3;22
0;24;5611;0;48;1822;-1;3;22
0;25;4784;1822;875;656;28;2;21
0;26;4784;2478;875;732;-1;2;21
0;27;5659;0;341;3210;-1;1;0
1;28;0;0;6000;3210;-2;0;
1;29;0;0;547;3210;-2;1;28
1;30;0;0;547;1743;-2;2;29
1;31;0;0;440;1743;19;3;30
1;32;440;0;107;1743;-1;3;30
1;33;0;1743;547;823;-2;2;29
1;34;0;1743;519;823;0;3;33
1;35;519;1743;28;823;-1;3;33
1;36;0;2566;547;548;11;2;29
1;37;0;3114;547;96;-1;2;29
1;38;547;0;1064;3210;-2;1;28
1;39;547;0;1064;2043;-2;2;38
1;40;547;0;440;2043;-2;3;39
1;41;547;0;440;1743;20;4;40
1;42;547;1743;440;300;-1;4;40
1;43;987;0;540;2043;21;3;39
1;44;1527;0;84;2043;-1;3;39
1;45;547;2043;1064;875;-2;2;38
1;46;547;2043;656;875;29;3;45
1;47;1203;2043;408;875;-2;3;45
1;48;1203;2043;408;741;39;4;47
1;49;1203;2784;408;134;-1;4;47
1;50;547;2918;1064;292;-1;2;38
1;51;1611;0;1319;3210;-2;1;28
1;52;1611;0;1319;2587;-2;2;51
1;53;1611;0;1151;2587;40;3;52
1;54;2762;0;168;2587;-1;3;52
1;55;1611;2587;1319;570;-2;2;51
1;56;1611;2587;547;570;-2;3;55
1;57;1611;2587;547;548;12;4;56
1;58;1611;3135;547;22;-1;4;56
1;59;2158;2587;772;570;46;3;55
1;60;1611;3157;1319;53;-1;2;51
1;61;2930;0;837;3210;-2;1;28
1;62;2930;0;837;1135;41;2;61
1;63;2930;1135;837;1102;-2;2;61
1;64;2930;1135;619;1102;42;3;63
1;65;3549;1135;218;1102;-1;3;63
1;66;2930;2237;837;875;-2;2;61
1;67;2930;2237;656;875;30;3;66
1;68;3586;2237;181;875;-1;3;66
1;69;2930;3112;837;98;-1;2;61
1;70;3767;0;194;3210;-2;1;28
1;71;3767;0;194;1505;22;2;70
1;72;3767;1505;194;1705;-1;2;70
1;73;3961;0;242;3210;-2;1;28
1;74;3961;0;242;2092;23;2;73
1;75;3961;2092;242;1118;-1;2;73
1;76;4203;0;935;3210;-2;1;28
1;77;4203;0;935;1141;-2;2;76
1;78;4203;0;872;1141;24;3;77
1;79;5075;0;63;1141;-1;3;77
1;80;4203;1141;935;1822;-2;2;76
1;81;4203;1141;108;1822;-1;3;80
1;82;4311;1141;827;1822;25;3;80
1;83;4203;2963;935;247;-1;2;76
1;84;5138;0;702;3210;-2;1;28
1;85;5138;0;702;1032;-2;2;84
1;86;5138;0;657;1032;13;3;85
1;87;5795;0;45;1032;-1;3;85
1;88;5138;1032;702;92;-1;2;84
1;89;5138;1124;702;838;-2;2;84
1;90;5138;1124;408;838;14;3;89
1;91;5546;1124;294;838;-1;3;89
1;92;5138;1962;702;813;-2;2;84
1;93;5138;1962;514;813;15;3;92
1;94;5652;1962;188;813;-1;3;92
1;95;5138;2775;702;334;43;2;84
1;96;5138;3109;702;101;-1;2;84
1;97;5840;0;160;3210;-1;1;28
2;98;0;0;6000;3210;-2;0;
2;99;0;0;1475;3210;-2;1;98
2;100;0;0;1475;1822;-2;2;99
2;101;0;0;827;1822;26;3;100
2;102;827;0;648;1822;-1;3;100
2;103;0;1822;1475;1150;-2;2;99
2;104;0;1822;656;1150;-2;3;103
2;105;0;1822;656;1011;31;4;104
2;106;0;2833;656;139;-1;4;104
2;107;656;1822;819;1150;44;3;103
2;108;0;2972;1475;238;-1;2;99
2;109;1475;0;1216;3210;-2;1;98
2;110;1475;0;1216;1011;-2;2;109
2;111;1475;0;656;1011;32;3;110
2;112;2131;0;560;1011;-1;3;110
2;113;1475;1011;1216;1011;-2;2;109
2;114;1475;1011;50;1011;-1;3;113
2;115;1525;1011;656;1011;33;3;113
2;116;2181;1011;510;1011;-1;3;113
2;117;1475;2022;1216;1124;-2;2;109
2;118;1475;2022;514;1124;-2;3;117
2;119;1475;2022;514;813;16;4;118
2;120;1475;2835;514;311;-1;4;118
2;121;1989;2022;702;1124;34;3;117
2;122;1475;3146;1216;64;-1;2;109
2;123;2691;0;1054;3210;-2;1;98
2;124;2691;0;1054;82;-1;2;123
2;125;2691;82;1054;1942;-2;2;123
2;126;2691;82;718;1942;35;3;125
2;127;3409;82;336;1942;-1;3;125
2;128;2691;2024;1054;823;-2;2;123
2;129;2691;2024;519;823;17;3;128
2;130;3210;2024;535;823;-2;3;128
2;131;3210;2024;535;637;1;4;130
2;132;3210;2661;535;186;-1;4;130
2;133;2691;2847;1054;363;-1;2;123
2;134;3745;0;535;3210;-2;1;98
2;135;3745;0;535;637;2;2;134
2;136;3745;637;535;637;3;2;134
2;137;3745;1274;535;637;4;2;134
2;138;3745;1911;535;1299;-1;2;134
2;139;4280;0;735;3210;-2;1;98
2;140;4280;0;735;1135;-2;2;139
2;141;4280;0;538;1135;5;3;140
2;142;4818;0;197;1135;-1;3;140
2;143;4280;1135;735;837;6;2;139
2;144;4280;1972;735;1238;-1;2;139
2;145;5015;0;508;3210;-2;1;98
2;146;5015;0;508;638;7;2;145
2;147;5015;638;508;504;-2;2;145
2;148;5015;638;269;504;8;3;147
2;149;5284;638;239;504;-1;3;147
2;150;5015;1142;508;2068;-1;2;145
2;151;5523;0;477;3210;-3;1;98
