PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;1808;3210;-2;1;0
0;2;0;0;1808;1142;-2;2;1
0;3;0;0;315;1142;0;3;2
0;4;315;0;1493;1142;-1;3;2
0;5;0;1142;1808;315;-2;2;1
0;6;0;1142;1142;315;1;3;5
0;7;1142;1142;666;315;-1;3;5
0;8;0;1457;1808;902;-2;2;1
0;9;0;1457;1558;902;2;3;8
0;10;1558;1457;250;902;-1;3;8
0;11;0;2359;1808;516;-2;2;1
0;12;0;2359;904;516;3;3;11
0;13;904;2359;904;516;4;3;11
0;14;0;2875;1808;274;-2;2;1
0;15;0;2875;848;274;5;3;14
0;16;848;2875;848;274;6;3;14
0;17;1696;2875;112;274;-1;3;14
0;18;0;3149;1808;61;-1;2;1
0;19;1808;0;1847;3210;-2;1;0
0;20;1808;0;1847;588;-2;2;19
0;21;1808;0;1104;588;7;3;20
0;22;2912;0;743;588;-1;3;20
0;23;1808;588;1847;762;-2;2;19
0;24;1808;588;506;762;8;3;23
0;25;2314;588;1341;762;-1;3;23
0;26;1808;1350;1847;696;9;2;19
0;27;1808;2046;1847;457;-2;2;19
0;28;1808;2046;947;457;10;3;27
0;29;2755;2046;900;457;-1;3;27
0;30;1808;2503;1847;399;-2;2;19
0;31;1808;2503;577;399;11;3;30
0;32;2385;2503;577;399;12;3;30
0;33;2962;2503;693;399;-1;3;30
0;34;1808;2902;1847;308;-1;2;19
0;35;3655;0;2155;3210;-2;1;0
0;36;3655;0;2155;670;-2;2;35
0;37;3655;0;2125;670;13;3;36
0;38;5780;0;30;670;-1;3;36
0;39;3655;670;2155;625;-2;2;35
0;40;3655;670;1455;625;14;3;39
0;41;5110;670;700;625;-1;3;39
0;42;3655;1295;2155;599;15;2;35
0;43;3655;1894;2155;599;16;2;35
0;44;3655;2493;2155;599;17;2;35
0;45;3655;3092;2155;118;-1;2;35
0;46;5810;0;190;3210;-1;1;0
1;47;0;0;6000;3210;-2;0;
1;48;0;0;650;3210;-2;1;47
1;49;0;0;650;2155;-2;2;48
1;50;0;0;599;2155;18;3;49
1;51;599;0;51;2155;-1;3;49
1;52;0;2155;650;580;19;2;48
1;53;0;2735;650;310;-2;2;48
1;54;0;2735;557;310;20;3;53
1;55;557;2735;93;310;-1;3;53
1;56;0;3045;650;165;-1;2;48
1;57;650;0;1207;3210;-2;1;47
1;58;650;0;1207;580;-2;2;57
1;59;650;0;947;580;21;3;58
1;60;1597;0;260;580;-1;3;58
1;61;650;580;1207;937;-2;2;57
