PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;359;3210;-2;1;0
0;2;0;0;359;1142;-2;2;1
0;3;0;0;315;1142;0;3;2
0;4;315;0;44;1142;-1;3;2
0;5;0;1142;359;804;40;2;1
0;6;0;1946;359;205;-1;2;1
0;7;0;2151;359;557;-2;2;1
0;8;0;2151;310;557;20;3;7
0;9;310;2151;49;557;-1;3;7
0;10;0;2708;359;502;-1;2;1
0;11;359;0;464;3210;-2;1;0
0;12;359;0;464;1142;-2;2;11
0;13;359;0;315;1142;1;3;12
0;14;674;0;149;1142;-1;3;12
0;15;359;1142;464;1400;50;2;11
0;16;359;2542;464;668;-1;2;11
0;17;823;0;544;3210;-2;1;0
0;18;823;0;544;1604;41;2;17
0;19;823;1604;544;947;-2;2;17
0;20;823;1604;457;947;10;3;19
0;21;1280;1604;87;947;-1;3;19
0;22;823;2551;544;659;-1;2;17
0;23;1367;0;544;3210;-2;1;0
0;24;1367;0;544;1604;42;2;23
0;25;1367;1604;544;577;-2;2;23
0;26;1367;1604;399;577;11;3;25
0;27;1766;1604;145;577;-1;3;25
0;28;1367;2181;544;577;-2;2;23
0;29;1367;2181;399;577;12;3;28
0;30;1766;2181;145;577;-1;3;28
0;31;1367;2758;544;452;-1;2;23
0;32;1911;0;1214;3210;-2;1;0
0;33;1911;0;1214;2125;-2;2;32
0;34;1911;0;670;2125;13;3;33
0;35;2581;0;544;2125;-2;3;33
0;36;2581;0;544;1604;43;4;35
0;37;2581;1604;544;521;-1;4;35
0;38;1911;2125;1214;526;-2;2;32
0;39;1911;2125;807;526;30;3;38
0;40;2718;2125;407;526;-1;3;38
0;41;1911;2651;1214;559;-1;2;32
0;42;3125;0;625;3210;-2;1;0
0;43;3125;0;625;130;-1;2;42
0;44;3125;130;625;1455;14;2;42
0;45;3125;1585;625;824;-2;2;42
0;46;3125;1585;502;824;51;3;45
0;47;3627;1585;123;824;-1;3;45
0;48;3125;2409;625;302;-2;2;42
0;49;3125;2409;527;302;52;3;48
0;50;3652;2409;98;302;-1;3;48
0;51;3125;2711;625;499;-1;2;42
0;52;3750;0;1198;3210;-2;1;0
0;53;3750;0;1198;2155;-2;2;52
0;54;3750;0;599;2155;15;3;53
0;55;4349;0;599;2155;16;3;53
0;56;3750;2155;1198;526;-2;2;52
0;57;3750;2155;807;526;31;3;56
0;58;4557;2155;391;526;-1;3;56
0;59;3750;2681;1198;529;-1;2;52
0;60;4948;0;807;3210;-2;1;0
0;61;4948;0;807;2155;-2;2;60
0;62;4948;0;599;2155;17;3;61
0;63;5547;0;208;2155;-1;3;61
0;64;4948;2155;807;526;32;2;60
0;65;4948;2681;807;529;-1;2;60
0;66;5755;0;245;3210;-1;1;0
1;67;0;0;6000;3210;-2;0;
1;68;0;0;1094;3210;-2;1;67
1;69;0;0;1094;2284;-2;2;68
1;70;0;0;599;2284;-2;3;69
1;71;0;0;599;2155;18;4;70
1;72;0;2155;599;129;-1;4;70
1;73;599;0;495;2284;-2;3;69
1;74;599;0;495;1187;33;4;73
1;75;599;1187;495;1097;34;4;73
1;76;0;2284;1094;225;-1;2;68
1;77;0;2509;1094;650;-2;2;68
1;78;0;2509;123;650;-1;3;77
1;79;123;2509;580;650;19;3;77
1;80;703;2509;391;650;-1;3;77
1;81;0;3159;1094;51;-1;2;68
1;82;1094;0;495;3210;-2;1;67
1;83;1094;0;495;1097;35;2;82
1;84;1094;1097;495;1187;36;2;82
1;85;1094;2284;495;322;-2;2;82
1;86;1094;2284;392;322;37;3;85
1;87;1486;2284;103;322;-1;3;85
1;88;1094;2606;495;604;-1;2;82
1;89;1589;0;704;3210;-2;1;67
1;90;1589;0;704;1431;44;2;89
1;91;1589;1431;704;968;-2;2;89
1;92;1589;1431;449;968;45;3;91
1;93;2038;1431;255;968;-1;3;91
1;94;1589;2399;704;502;-2;2;89
1;95;1589;2399;352;502;38;3;94
1;96;1941;2399;352;502;-1;3;94
1;97;1589;2901;704;309;-1;2;89
1;98;2293;0;324;3210;-2;1;67
1;99;2293;0;324;1567;46;2;98
1;100;2293;1567;324;1567;47;2;98
1;101;2293;3134;324;76;-1;2;98
1;102;2617;0;648;3210;-2;1;67
1;103;2617;0;648;1624;-2;2;102
1;104;2617;0;324;1624;-2;3;103
1;105;2617;0;324;57;-1;4;104
1;106;2617;57;324;1567;48;4;104
1;107;2941;0;324;1624;-2;3;103
1;108;2941;0;324;1567;49;4;107
1;109;2941;1567;324;57;-1;4;107
1;110;2617;1624;648;1122;-2;2;102
1;111;2617;1624;595;1122;60;3;110
1;112;3212;1624;53;1122;-1;3;110
1;113;2617;2746;648;464;-1;2;102
1;114;3265;0;580;3210;-2;1;67
1;115;3265;0;580;947;21;2;114
1;116;3265;947;580;937;22;2;114
1;117;3265;1884;580;717;-2;2;114
1;118;3265;1884;440;717;23;3;117
1;119;3705;1884;140;717;-1;3;117
1;120;3265;2601;580;609;-1;2;114
1;121;3845;0;836;3210;-2;1;67
1;122;3845;0;836;1207;-2;2;121
1;123;3845;0;695;1207;24;3;122
1;124;4540;0;141;1207;-1;3;122
1;125;3845;1207;836;490;-2;2;121
1;126;3845;1207;327;490;25;3;125
1;127;4172;1207;509;490;-1;3;125
1;128;3845;1697;836;827;-2;2;121
1;129;3845;1697;277;827;-2;3;128
1;130;3845;1697;277;695;26;4;129
1;131;3845;2392;277;132;-1;4;129
1;132;4122;1697;559;827;53;3;128
1;133;3845;2524;836;686;-1;2;121
1;134;4681;0;827;3210;-2;1;67
1;135;4681;0;827;827;-2;2;134
1;136;4681;0;559;827;54;3;135
1;137;5240;0;268;827;-1;3;135
