PLATE_ID;NODE_ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;316;3210;-2;1;0
0;2;0;0;316;486;109;2;1
0;3;0;486;316;486;110;2;1
0;4;0;972;316;925;-2;2;1
0;5;0;972;265;925;52;3;4
0;6;265;972;51;925;-1;3;4
0;7;0;1897;316;1313;-1;2;1
0;8;316;0;444;3210;-2;1;0
0;9;316;0;444;890;72;2;8
0;10;316;890;444;2320;-1;2;8
0;11;760;0;678;3210;-2;1;0
0;12;760;0;678;848;53;2;11
0;13;760;848;678;2362;-1;2;11
0;14;1438;0;1063;3210;-2;1;0
0;15;1438;0;1063;588;111;2;14
0;16;1438;588;1063;2622;-1;2;14
0;17;2501;0;3223;3210;-2;1;0
0;18;2501;0;3223;588;-2;2;17
0;19;2501;0;1063;588;112;3;18
0;20;3564;0;1063;588;113;3;18
0;21;4627;0;1063;588;114;3;18
0;22;5690;0;34;588;-1;3;18
0;23;2501;588;3223;1405;-2;2;17
0;24;2501;588;774;1405;-2;3;23
0;25;2501;588;774;318;115;4;24
0;26;2501;906;774;1087;-1;4;24
0;27;3275;588;774;1405;-2;3;23
0;28;3275;588;774;318;116;4;27
0;29;3275;906;774;1087;-1;4;27
0;30;4049;588;1309;1405;-2;3;23
0;31;4049;588;1309;553;0;4;30
0;32;4049;1141;1309;852;-1;4;30
0;33;5358;588;366;1405;1;3;23
0;34;2501;1993;3223;1217;-1;2;17
0;35;5724;0;276;3210;-1;1;0
1;36;0;0;6000;3210;-2;0;
1;37;0;0;366;3210;-2;1;36
1;38;0;0;366;1405;2;2;37
1;39;0;1405;366;1805;-1;2;37
1;40;366;0;2050;3210;-2;1;36
1;41;366;0;2050;350;-2;2;40
1;42;366;0;2030;350;119;3;41
1;43;2396;0;20;350;-1;3;41
1;44;366;350;2050;1272;-2;2;40
1;45;366;350;1160;1272;-2;3;44
1;46;366;350;1160;636;117;4;45
1;47;366;986;1160;636;118;4;45
1;48;1526;350;890;1272;-2;3;44
1;49;1526;350;890;880;73;4;48
1;50;1526;1230;890;392;-1;4;48
1;51;366;1622;2050;1588;-1;2;40
1;52;2416;0;1213;3210;-2;1;36
1;53;2416;0;1213;938;-2;2;52
1;54;2416;0;444;938;-2;3;53
1;55;2416;0;444;890;74;4;54
1;56;2416;890;444;48;-1;4;54
1;57;2860;0;769;938;75;3;53
1;58;2416;938;1213;401;-2;2;52
1;59;2416;938;938;401;76;3;58
1;60;3354;938;275;401;-1;3;58
1;61;2416;1339;1213;1871;-1;2;52
1;62;3629;0;718;3210;-2;1;36
1;63;3629;0;718;355;-1;2;62
1;64;3629;355;718;833;77;2;62
1;65;3629;1188;718;2022;-1;2;62
1;66;4347;0;767;3210;-2;1;36
1;67;4347;0;767;1088;92;2;66
1;68;4347;1088;767;2122;-1;2;66
1;69;5114;0;308;3210;-2;1;36
1;70;5114;0;308;1710;93;2;69
1;71;5114;1710;308;1500;-1;2;69
1;72;5422;0;308;3210;-2;1;36
1;73;5422;0;308;1710;94;2;72
1;74;5422;1710;308;1500;-1;2;72
1;75;5730;0;270;3210;-1;1;36
2;76;0;0;6000;3210;-2;0;
2;77;0;0;497;3210;-2;1;76
2;78;0;0;497;2090;78;2;77
2;79;0;2090;497;1120;-1;2;77
2;80;497;0;3221;3210;-2;1;76
2;81;497;0;3221;408;-2;2;80
2;82;497;0;2897;408;120;3;81
2;83;3394;0;324;408;-1;3;81
2;84;497;408;3221;1455;-2;2;80
2;85;497;408;655;1455;121;3;84
2;86;1152;408;655;1455;122;3;84
2;87;1807;408;1911;1455;-2;3;84
2;88;1807;408;1911;642;3;4;87
2;89;1807;1050;1911;813;-1;4;87
2;90;497;1863;3221;1347;-1;2;80
2;91;3718;0;1945;3210;-2;1;76
2;92;3718;0;1945;642;-2;2;91
2;93;3718;0;1911;642;4;3;92
2;94;5629;0;34;642;-1;3;92
2;95;3718;642;1945;740;54;2;91
2;96;3718;1382;1945;1828;-1;2;91
2;97;5663;0;337;3210;-1;1;76
3;98;0;0;6000;3210;-2;0;
3;99;0;0;1662;3210;-2;1;98
3;100;0;0;1662;2386;-2;2;99
3;101;0;0;554;2386;-2;3;100
3;102;0;0;554;1193;55;4;101
3;103;0;1193;554;1193;56;4;101
3;104;554;0;554;2386;-2;3;100
3;105;554;0;554;1193;57;4;104
3;106;554;1193;554;1193;58;4;104
3;107;1108;0;554;2386;-2;3;100
3;108;1108;0;554;1193;59;4;107
3;109;1108;1193;554;1193;60;4;107
3;110;0;2386;1662;554;-2;2;99
3;111;0;2386;898;554;61;3;110
3;112;898;2386;764;554;-1;3;110
3;113;0;2940;1662;270;-1;2;99
3;114;1662;0;1110;3210;-2;1;98
3;115;1662;0;1110;898;-2;2;114
3;116;1662;0;554;898;62;3;115
3;117;2216;0;556;898;63;3;115
3;118;1662;898;1110;898;-2;2;114
3;119;1662;898;556;898;64;3;118
3;120;2218;898;554;898;-1;3;118
3;121;1662;1796;1110;1414;-1;2;114
3;122;2772;0;556;3210;-2;1;98
3;123;2772;0;556;898;65;2;122
3;124;2772;898;556;2312;-1;2;122
3;125;3328;0;1483;3210;-2;1;98
3;126;3328;0;1483;451;66;2;125
3;127;3328;451;1483;451;67;2;125
3;128;3328;902;1483;2308;-1;2;125
3;129;4811;0;393;3210;-1;1;98
3;130;5204;0;729;3210;-2;1;98
3;131;5204;0;729;2043;5;2;130
3;132;5204;2043;729;1167;-1;2;130
3;133;5933;0;67;3210;-1;1;98
4;134;0;0;6000;3210;-2;0;
4;135;0;0;788;3210;-2;1;134
4;136;0;0;788;1358;68;2;135
4;137;0;1358;788;988;-2;2;135
4;138;0;1358;303;988;69;3;137
4;139;303;1358;485;988;-1;3;137
4;140;0;2346;788;864;-1;2;135
4;141;788;0;491;3210;-2;1;134
4;142;788;0;491;1061;70;2;141
4;143;788;1061;491;2149;-1;2;141
4;144;1279;0;3264;3210;-2;1;134
4;145;1279;0;3264;729;-2;2;144
4;146;1279;0;349;729;-1;3;145
4;147;1628;0;872;729;-2;3;145
4;148;1628;0;872;547;71;4;147
4;149;1628;547;872;182;-1;4;147
4;150;2500;0;2043;729;6;3;145
4;151;1279;729;3264;826;-2;2;144
4;152;1279;729;1986;826;20;3;151
4;153;3265;729;1278;826;-1;3;151
4;154;1279;1555;3264;1655;-1;2;144
4;155;4543;0;1085;3210;-2;1;134
4;156;4543;0;1085;1698;7;2;155
4;157;4543;1698;1085;1512;-1;2;155
4;158;5628;0;372;3210;-1;1;134
5;159;0;0;6000;3210;-2;0;
5;160;0;0;1868;3210;-2;1;159
5;161;0;0;1868;1790;-2;2;160
5;162;0;0;934;1790;123;3;161
5;163;934;0;934;1790;124;3;161
5;164;0;1790;1868;934;-2;2;160
5;165;0;1790;1790;934;125;3;164
5;166;1790;1790;78;934;-1;3;164
5;167;0;2724;1868;486;-1;2;160
5;168;1868;0;2802;3210;-2;1;159
5;169;1868;0;2802;1790;-2;2;168
5;170;1868;0;934;1790;126;3;169
5;171;2802;0;934;1790;127;3;169
5;172;3736;0;934;1790;128;3;169
5;173;1868;1790;2802;854;-2;2;168
5;174;1868;1790;2060;854;79;3;173
5;175;3928;1790;742;854;-1;3;173
5;176;1868;2644;2802;566;-1;2;168
5;177;4670;0;483;3210;-2;1;159
5;178;4670;0;483;196;-1;2;177
5;179;4670;196;483;1180;80;2;177
5;180;4670;1376;483;1834;-1;2;177
5;181;5153;0;633;3210;-2;1;159
5;182;5153;0;633;1471;81;2;181
5;183;5153;1471;633;1739;-1;2;181
5;184;5786;0;214;3210;-1;1;159
6;185;0;0;6000;3210;-2;0;
6;186;0;0;1254;3210;-2;1;185
6;187;0;0;1254;860;-2;2;186
6;188;0;0;218;860;-1;3;187
6;189;218;0;1036;860;82;3;187
6;190;0;860;1254;2013;-2;2;186
6;191;0;860;799;2013;83;3;190
6;192;799;860;455;2013;-1;3;190
6;193;0;2873;1254;337;-1;2;186
6;194;1254;0;886;3210;-2;1;185
6;195;1254;0;886;561;84;2;194
6;196;1254;561;886;2649;-1;2;194
6;197;2140;0;1049;3210;-2;1;185
6;198;2140;0;1049;975;85;2;197
6;199;2140;975;1049;2235;-1;2;197
6;200;3189;0;2609;3210;-2;1;185
6;201;3189;0;2609;683;-2;2;200
6;202;3189;0;1075;683;86;3;201
