PLATE ID;NODE ID;X;Y;WIDTH;HEIGHT;TYPE;CUT;PARENT
0;0;0;0;6000;3210;-2;0;
0;1;0;0;430;3210;-2;1;0
0;2;0;0;430;2085;-2;2;1
0;3;0;0;381;2085;10;3;2
0;4;381;0;49;2085;-1;3;2
0;5;0;2085;430;1084;0;2;1
0;6;0;3169;430;41;-1;2;1
0;7;430;0;460;3210;-2;1;0
0;8;430;0;460;1675;-2;2;7
0;9;430;0;395;1675;8;3;8
0;10;825;0;65;1675;-1;3;8
0;11;430;1675;460;1077;14;2;7
0;12;430;2752;460;458;-1;2;7
0;13;890;0;522;3210;-2;1;0
0;14;890;0;522;1700;-2;2;13
0;15;890;0;482;1700;16;3;14
0;16;1372;0;40;1700;-1;3;14
0;17;890;1700;522;1171;13;2;13
0;18;890;2871;522;339;-1;2;13
0;19;1412;0;618;3210;-2;1;0
0;20;1412;0;618;1604;1;2;19
0;21;1412;1604;618;1262;-2;2;19
0;22;1412;1604;549;1262;2;3;21
0;23;1961;1604;69;1262;-1;3;21
0;24;1412;2866;618;344;-1;2;19
0;25;2030;0;1365;3210;-2;1;0
0;26;2030;0;1365;1077;-2;2;25
0;27;2030;0;827;1077;15;3;26
0;28;2857;0;538;1077;-1;3;26
0;29;2030;1077;1365;522;-2;2;25
0;30;2030;1077;1171;522;12;3;29
0;31;3201;1077;194;522;-1;3;29
0;32;2030;1599;1365;498;3;2;25
0;33;2030;2097;1365;960;-2;2;25
0;34;2030;2097;895;960;4;3;33
0;35;2925;2097;470;960;-1;3;33
0;36;2030;3057;1365;153;-1;2;25
0;37;3395;0;2085;3210;-2;1;0
0;38;3395;0;2085;482;-2;2;37
0;39;3395;0;1700;482;9;3;38
0;40;5095;0;385;482;-1;3;38
0;41;3395;482;2085;733;11;2;37
0;42;3395;1215;2085;405;-2;2;37
0;43;3395;1215;1911;405;5;3;42
0;44;5306;1215;174;405;-1;3;42
0;45;3395;1620;2085;1126;-2;2;37
0;46;3395;1620;2052;1126;6;3;45
0;47;5447;1620;33;1126;-1;3;45
0;48;3395;2746;2085;426;-2;2;37
0;49;3395;2746;1655;426;7;3;48
0;50;5050;2746;430;426;-1;3;48
0;51;3395;3172;2085;38;-1;2;37
0;52;5480;0;520;3210;-1;1;0
